situation,time,social_annotations,social_validPar_trial,social_validPar_time,social_ratings,social_ratings_mad,social_included,tom_annotations,tom_validPar_trial,tom_validPar_time,tom_ratings,tom_ratings_mad,tom_included,word,intentional_action,all_action
1,0.0,0.0,93,0,,0.0999999999999978,0.0,100.0,69,1,77.4,0.0,0.0,Gloria,0.772277228,0.8316831689999999
1,0.23,0.0,93,2,52.3,0.0,0.0,100.0,69,3,77.11627906976744,2.083720930232559,0.0,Gloria,0.772277228,0.8316831689999999
1,0.46,0.0,93,3,52.2,11.0,0.0,100.0,69,5,75.40267022696929,2.732623890677772,0.0,Gloria,0.772277228,0.8316831689999999
1,0.69,0.0,93,10,54.55,12.65,0.0,100.0,69,11,60.9,15.730974632843804,0.0,and,0.772277228,0.8316831689999999
1,0.92,0.0,93,26,52.8,11.6,0.0,100.0,69,22,55.79821428571429,8.912945121951221,0.0,and,0.772277228,0.8316831689999999
1,1.15,0.0,93,33,52.2,9.28294117647059,0.0,100.0,69,26,50.46927710843373,6.618854522567879,0.0,her,0.772277228,0.8316831689999999
1,1.38,0.0,93,42,50.57831325301205,9.080232558139528,0.0,100.0,69,34,50.1255,5.50097058823529,1.0,brother,0.772277228,0.8316831689999999
1,1.61,0.0,93,49,50.01976744186047,8.730001487431206,1.0,100.0,69,38,50.05,4.828714859437749,1.0,Jim,0.772277228,0.8316831689999999
1,1.84,0.0,93,56,49.94506172839506,15.669483568075124,1.0,100.0,69,42,49.95,8.1609756097561,1.0,Jim,0.772277228,0.8316831689999999
1,2.07,0.0,93,60,49.8,19.58014584654407,1.0,100.0,69,45,49.9,7.087951807228919,1.0,had,0.772277228,0.8316831689999999
1,2.3,0.0,93,64,49.9,20.6,1.0,100.0,69,47,49.9,9.0,1.0,been,0.772277228,0.8316831689999999
1,2.53,0.0,93,67,49.9,20.75522388059701,1.0,100.0,69,52,49.9,12.336585365853662,1.0,planning,0.772277228,0.8316831689999999
1,2.76,0.0,93,71,49.7,22.65592760180995,1.0,100.0,69,54,49.9,12.49805102763997,1.0,a,0.772277228,0.8316831689999999
1,2.99,0.0,93,72,49.7,25.19259259259259,1.0,100.0,69,55,49.9,10.732530120481933,1.0,month,0.772277228,0.8316831689999999
1,3.22,0.0,93,75,49.7,24.189912758996726,1.0,100.0,69,56,49.42123893805309,8.993545611015488,1.0,long,0.772277228,0.8316831689999999
1,3.45,0.0,93,76,50.0,24.151204819277112,1.0,100.0,69,58,49.1,11.25,1.0,long,0.772277228,0.8316831689999999
1,3.68,0.0,93,76,50.0,24.142857142857142,1.0,100.0,69,59,49.4289156626506,10.7710843373494,1.0,vacation,0.772277228,0.8316831689999999
1,3.91,0.0,93,77,49.6,23.658433734939763,1.0,100.0,69,59,49.2,10.213043478260872,1.0,vacation,0.772277228,0.8316831689999999
1,4.14,0.0,93,78,49.650000000000006,22.73313253012048,1.0,100.0,69,60,49.2,12.873809523809529,1.0,together,0.772277228,0.8316831689999999
1,4.37,0.0,93,80,49.7,24.06506024096386,1.0,100.0,69,60,49.2,16.503012048192776,1.0,to,0.772277228,0.8316831689999999
