situation,time,word,intentional_action,all_action
1,0.0,William,0.178217822,0.306930693
1,0.23,William,0.178217822,0.306930693
1,0.46,William,0.178217822,0.306930693
1,0.69,and,0.178217822,0.306930693
1,0.92,and,0.178217822,0.306930693
1,1.15,Johnny,0.178217822,0.306930693
1,1.38,are,0.178217822,0.306930693
1,1.61,brother-in-laws,0.178217822,0.306930693
1,1.84,brother-in-laws,0.178217822,0.306930693
1,2.07,who,0.178217822,0.306930693
1,2.3,who,0.178217822,0.306930693
1,2.53,been,0.178217822,0.306930693
1,2.76,cellmates,0.178217822,0.306930693
1,2.99,for,0.178217822,0.306930693
1,3.22,for,0.178217822,0.306930693
1,3.45,years,0.178217822,0.306930693
1,3.68,years,0.178217822,0.306930693
1,3.91,years,0.178217822,0.306930693
1,4.14,Both,0.168316832,0.405940594
1,4.37,Both,0.168316832,0.405940594
1,4.6,were,0.168316832,0.405940594
1,4.83,were,0.168316832,0.405940594
1,5.06,facing,0.168316832,0.405940594
1,5.29,the,0.168316832,0.405940594
1,5.52,death,0.168316832,0.405940594
1,5.75,penalty,0.168316832,0.405940594
1,5.98,in,0.168316832,0.405940594
1,6.21,the,0.168316832,0.405940594
1,6.44,coming,0.168316832,0.405940594
1,6.67,week,0.168316832,0.405940594
1,6.9,week,0.168316832,0.405940594
1,7.13,They,0.811881188,0.8811881189999999
1,7.36,They,0.811881188,0.8811881189999999
1,7.59,had,0.811881188,0.8811881189999999
1,7.82,spent,0.811881188,0.8811881189999999
1,8.05,the,0.811881188,0.8811881189999999
1,8.28,last,0.811881188,0.8811881189999999
1,8.51,year,0.811881188,0.8811881189999999
1,8.74,planning,0.811881188,0.8811881189999999
1,8.97,planning,0.811881188,0.8811881189999999
1,9.2,a,0.811881188,0.8811881189999999
1,9.43,jailbreak,0.811881188,0.8811881189999999
1,9.66,together,0.811881188,0.8811881189999999
1,9.89,together,0.811881188,0.8811881189999999
1,10.12,to,0.811881188,0.8811881189999999
1,10.35,avoid,0.811881188,0.8811881189999999
1,10.58,their,0.811881188,0.8811881189999999
1,10.81,looming,0.811881188,0.8811881189999999
1,11.04,death,0.811881188,0.8811881189999999
1,11.27,death,0.811881188,0.8811881189999999
1,11.5,death,0.811881188,0.8811881189999999
1,11.73,death,0.811881188,0.8811881189999999
1,11.96,death,0.811881188,0.8811881189999999
1,12.19,death,0.811881188,0.8811881189999999
1,12.42,death,0.811881188,0.8811881189999999
1,12.65,death,0.811881188,0.8811881189999999
1,12.88,death,0.811881188,0.8811881189999999
2,13.11,When,0.297029703,0.356435644
2,13.34,When,0.297029703,0.356435644
2,13.57,When,0.297029703,0.356435644
2,13.8,the,0.297029703,0.356435644
2,14.03,came,0.297029703,0.356435644
2,14.26,to,0.297029703,0.356435644
2,14.49,make,0.297029703,0.356435644
2,14.72,escape,0.297029703,0.356435644
2,14.95,escape,0.297029703,0.356435644
2,15.18,everything,0.237623762,0.306930693
2,15.41,everything,0.237623762,0.306930693
2,15.64,was,0.237623762,0.306930693
2,15.87,was,0.237623762,0.306930693
2,16.1,going,0.237623762,0.306930693
2,16.33,according,0.237623762,0.306930693
2,16.56,to,0.237623762,0.306930693
2,16.79,to,0.237623762,0.306930693
2,17.02,plan,0.237623762,0.306930693
2,17.25,plan,0.237623762,0.306930693
2,17.48,They,0.861386139,0.96039604
2,17.71,They,0.861386139,0.96039604
2,17.94,They,0.861386139,0.96039604
2,18.17,had,0.861386139,0.96039604
