situation,time,social_annotations,social_validPar_trial,social_validPar_time,social_ratings,social_ratings_mad,social_included,tom_annotations,tom_validPar_trial,tom_validPar_time,tom_ratings,tom_ratings_mad,tom_included,word,intentional_action,all_action
1,0.0,0.0,72,1,61.8,0.0,0.0,100.0,79,2,78.05000000000001,11.65,0.0,Luke,0.326732673,0.396039604
1,0.23,0.0,72,5,72.6,12.299999999999995,0.0,100.0,79,4,80.05000000000001,13.008823529411774,0.0,always,0.326732673,0.396039604
1,0.46,0.0,72,10,64.34458333333333,12.461746987951804,0.0,100.0,79,6,80.26034482758621,12.360588235294117,0.0,always,0.326732673,0.396039604
1,0.69,0.0,72,17,58.23083333333334,23.730833333333337,0.0,100.0,79,11,77.5,11.900000000000006,0.0,thought,0.326732673,0.396039604
1,0.92,0.0,72,20,60.10921686746988,12.362533132530118,0.0,100.0,79,21,70.3,17.612871287128712,0.0,of,0.326732673,0.396039604
1,1.15,0.0,72,33,48.0,18.903797468354423,0.0,100.0,79,28,56.6875,16.47168674698795,0.0,of,0.326732673,0.396039604
1,1.38,0.0,72,36,39.35,17.872374999999998,1.0,100.0,79,33,60.14337349397591,14.989156626506023,0.0,himself,0.326732673,0.396039604
1,1.61,0.0,72,38,34.78482587064677,16.14429012345679,1.0,100.0,79,40,51.16616737219147,16.357929013350706,1.0,as,0.326732673,0.396039604
1,1.84,0.0,72,41,34.242748091603055,18.54274809160305,1.0,100.0,79,45,50.4,14.4,1.0,an,0.326732673,0.396039604
1,2.07,0.0,72,45,28.743373493975906,22.05662650602409,1.0,100.0,79,47,50.13532338308458,13.904491431730236,1.0,an,0.326732673,0.396039604
1,2.3,0.0,72,51,18.61306532663317,16.513065326633168,1.0,100.0,79,53,51.0,13.190361445783124,1.0,honest,0.326732673,0.396039604
1,2.53,0.0,72,56,20.3455175257732,17.743752819890844,1.0,100.0,79,55,50.4,10.9,1.0,man,0.326732673,0.396039604
1,2.76,0.0,72,60,16.444278606965174,14.719,1.0,100.0,79,57,50.4,16.244578313253008,1.0,man,0.326732673,0.396039604
1,2.99,0.0,72,61,13.0,10.7,1.0,100.0,79,59,50.4,18.009523809523806,1.0,That's,0.653465347,0.772277228
1,3.22,0.0,72,61,10.3125,8.6125,1.0,100.0,79,61,50.3,17.5,1.0,why,0.653465347,0.772277228
1,3.45,0.0,72,61,11.4,10.526190476190475,1.0,100.0,79,64,49.4,17.229032258064514,1.0,why,0.653465347,0.772277228
1,3.68,0.0,72,61,7.385483103284151,6.785483103284151,1.0,100.0,79,66,49.24166666666667,15.549999999999995,1.0,during,0.653465347,0.772277228
1,3.91,0.0,72,61,6.828571428571429,6.42534263679765,1.0,100.0,79,67,48.937,15.436999999999998,1.0,his,0.653465347,0.772277228
1,4.14,0.0,72,62,7.952380952380952,7.302380952380952,1.0,100.0,79,68,47.98132530120482,15.9,1.0,his,0.653465347,0.772277228
1,4.37,0.0,72,62,5.527605901951452,5.372411951992187,1.0,100.0,79,69,47.15405405405405,17.445945945945944,1.0,evening,0.653465347,0.772277228
1,4.6,0.0,72,64,4.949999999999999,4.692073681272676,1.0,100.0,79,70,47.12758620689655,17.77758620689655,1.0,jog,0.653465347,0.772277228
1,4.83,0.0,72,65,5.042168674698795,4.563228626650531,1.0,100.0,79,72,47.9,17.599999999999998,1.0,jog,0.653465347,0.772277228
1,5.06,0.0,72,65,6.0,5.4,1.0,100.0,79,73,47.8,18.5,1.0,around,0.653465347,0.772277228
1,5.29,0.0,72,67,4.8,4.449344125034886,1.0,100.0,79,73,43.624,18.876,1.0,the,0.653465347,0.772277228
1,5.52,0.0,72,67,4.797590361445783,4.466380534278236,1.0,100.0,79,73,45.0,19.599999999999994,1.0,swamp,0.653465347,0.772277228
1,5.75,0.0,72,67,4.1,3.752363948007427,1.0,100.0,79,73,45.15577689243028,19.444223107569712,1.0,swamp,0.653465347,0.772277228
1,5.98,0.0,72,67,4.1,3.735937723182402,1.0,100.0,79,73,44.728,19.872,1.0,he,0.653465347,0.772277228
1,6.21,0.0,72,67,4.152380952380953,3.725501775003061,1.0,100.0,79,73,44.8,19.8,1.0,pondered,0.653465347,0.772277228
1,6.44,0.0,72,67,4.257142857142857,3.757142857142857,1.0,100.0,79,73,45.464,19.564,1.0,pondered,0.653465347,0.772277228
1,6.67,0.0,72,67,3.8,3.3,1.0,100.0,79,73,45.832,20.732,1.0,his,0.653465347,0.772277228
1,6.9,0.0,72,67,3.546511627906977,3.046511627906977,1.0,100.0,79,74,41.86,21.894895104895102,1.0,recent,0.653465347,0.772277228
1,7.13,0.0,72,67,3.7,3.1489115266536416,1.0,100.0,79,74,41.45,22.3,1.0,recent,0.653465347,0.772277228
1,7.36,0.0,72,67,3.25074230348492,2.75074230348492,1.0,100.0,79,74,41.56208333333333,22.187916666666663,1.0,affair,0.653465347,0.772277228
1,7.59,0.0,72,67,3.5,3.0,1.0,100.0,79,74,41.3,22.231787330316745,1.0,with,0.653465347,0.772277228
1,7.82,0.0,72,67,3.8,3.3565655526992284,1.0,100.0,79,74,45.77586206896552,20.71700259849709,1.0,with,0.653465347,0.772277228
1,8.05,0.0,72,68,3.9,3.6,1.0,100.0,79,74,45.7725,20.03876506024097,1.0,the,0.653465347,0.772277228
1,8.28,0.0,72,68,4.0,3.6259177377892033,1.0,100.0,79,75,47.7,20.39999999999999,1.0,receptionist,0.653465347,0.772277228
1,8.51,0.0,72,68,4.35044578313253,4.05044578313253,1.0,100.0,79,75,48.60149253731343,20.898507462686567,1.0,at,0.653465347,0.772277228
1,8.74,0.0,72,68,4.45,4.075049320473477,1.0,100.0,79,76,50.1,20.45,1.0,at,0.653465347,0.772277228
1,8.97,0.0,72,68,4.85,4.55,1.0,100.0,79,76,50.650000000000006,19.04950248756218,1.0,work,0.653465347,0.772277228
1,9.2,0.0,72,69,6.0,5.5,1.0,100.0,79,76,50.650000000000006,19.64999999999999,1.0,Luke,0.801980198,0.851485148
1,9.43,0.0,72,69,6.5858823529411765,5.885882352941176,1.0,100.0,79,76,51.62865853658536,19.85,1.0,Luke,0.801980198,0.851485148
1,9.66,0.0,72,69,5.9,5.437645244215939,1.0,100.0,79,76,51.900000000000006,20.17612608708214,1.0,looked,0.801980198,0.851485148
1,9.89,0.0,72,69,5.158,4.8580000000000005,1.0,100.0,79,76,51.97767857142857,20.622321428571432,1.0,up,0.801980198,0.851485148
1,10.12,0.0,72,69,5.950602409638554,5.442143195137044,1.0,100.0,79,76,53.1625,19.4375,1.0,up,0.801980198,0.851485148
1,10.35,0.0,72,71,9.485882352941177,8.385882352941177,1.0,100.0,79,76,53.93095238095238,18.43855421686747,1.0,at,0.801980198,0.851485148
1,10.58,0.0,72,71,9.930120481927712,8.630120481927712,1.0,100.0,79,76,53.65,18.37625,1.0,the,0.801980198,0.851485148
1,10.81,0.0,72,71,7.826829268292683,6.826829268292683,1.0,100.0,79,77,54.4,18.1,1.0,the,0.801980198,0.851485148
1,11.04,0.0,72,71,7.6,6.699999999999999,1.0,100.0,79,77,55.2,17.889499999999998,1.0,sky,0.801980198,0.851485148
1,11.27,0.0,72,71,6.0,5.258134552206828,1.0,100.0,79,77,55.5,17.200000000000003,1.0,and,0.801980198,0.851485148
1,11.5,0.0,72,71,6.892857142857143,6.134565470238946,1.0,100.0,79,77,56.8,16.799999999999997,1.0,asked,0.801980198,0.851485148
1,11.73,0.0,72,71,6.0,5.5,1.0,100.0,79,77,58.5,15.700000000000005,1.0,asked,0.801980198,0.851485148
1,11.96,0.0,72,71,5.648228571428572,5.162223430040397,1.0,100.0,79,77,59.10617283950617,15.892536475869804,1.0,God,0.801980198,0.851485148
1,12.19,0.0,72,71,6.509090909090909,5.909090909090909,1.0,100.0,79,77,59.47176470588235,16.57176470588235,1.0,why,0.237623762,0.326732673
