situation,time,social_annotations,social_validPar_trial,social_validPar_time,social_ratings,social_ratings_mad,social_included,tom_annotations,tom_validPar_trial,tom_validPar_time,tom_ratings,tom_ratings_mad,tom_included,word,intentional_action,all_action
1,0.0,0.0,77,1,36.2,0.0,0.0,0.0,72,4,53.75,7.350000000000001,0.0,Linda,0.277227723,0.346534654
1,0.23,0.0,77,3,3.7,3.4000000000000004,0.0,0.0,72,7,59.923529411764704,14.323529411764705,0.0,and,0.277227723,0.346534654
1,0.46,0.0,77,7,34.49756097560976,16.09756097560976,0.0,0.0,72,9,54.7,21.419780219780225,0.0,and,0.277227723,0.346534654
1,0.69,0.0,77,16,46.74145728643216,32.89145728643216,0.0,0.0,72,15,51.8,15.600000000000009,0.0,Amy,0.277227723,0.346534654
1,0.92,0.0,77,22,48.55174129353234,19.55,0.0,0.0,72,21,52.0,10.799999999999995,0.0,had,0.277227723,0.346534654
1,1.15,0.0,77,30,48.95,22.2002,0.0,0.0,72,27,51.597297297297295,10.997297297297294,0.0,had,0.277227723,0.346534654
1,1.38,0.0,77,36,47.26225194848267,20.34333242059145,0.0,0.0,72,32,48.56142602495544,14.04642857142857,0.0,been,0.277227723,0.346534654
1,1.61,0.0,77,44,48.18953224663359,17.73247342310418,1.0,0.0,72,37,47.62623885918004,18.607094474153293,1.0,best,0.277227723,0.346534654
1,1.84,0.0,77,52,46.2,18.17223580786026,1.0,0.0,72,39,47.48181818181818,24.618181818181817,1.0,friends,0.277227723,0.346534654
1,2.07,0.0,77,58,44.38614457831325,26.19978094194961,1.0,0.0,72,47,46.7,22.39999999999999,1.0,friends,0.277227723,0.346534654
1,2.3,0.0,77,59,36.6,23.6,1.0,0.0,72,51,41.65308641975309,21.14691358024691,1.0,since,0.277227723,0.346534654
1,2.53,0.0,77,60,33.75,22.7,1.0,0.0,72,55,39.1515,19.491613772455096,1.0,kindergarten,0.277227723,0.346534654
1,2.76,0.0,77,61,32.2,25.33658536585366,1.0,0.0,72,59,36.6,18.636000000000003,1.0,kindergarten,0.277227723,0.346534654
1,2.99,0.0,77,63,24.5,22.9,1.0,0.0,72,59,36.1,17.900000000000002,1.0,they,0.663366337,0.732673268
1,3.22,0.0,77,63,19.6710843373494,18.9710843373494,1.0,0.0,72,63,35.39857651245552,20.60142348754448,1.0,even,0.663366337,0.732673268
