situation,time,word,intentional_action,all_action
1,0.0,James',0.277227723,0.792079208
1,0.23,James',0.277227723,0.792079208
1,0.46,James',0.277227723,0.792079208
1,0.69,James',0.277227723,0.792079208
1,0.92,and,0.277227723,0.792079208
1,1.15,Nancy's,0.277227723,0.792079208
1,1.38,son,0.277227723,0.792079208
1,1.61,son,0.277227723,0.792079208
1,1.84,Peter,0.277227723,0.792079208
1,2.07,had,0.277227723,0.792079208
1,2.3,been,0.277227723,0.792079208
1,2.53,kidnapped,0.277227723,0.792079208
1,2.76,kidnapped,0.277227723,0.792079208
1,2.99,recently,0.277227723,0.792079208
1,3.22,recently,0.277227723,0.792079208
1,3.45,recently,0.277227723,0.792079208
1,3.68,James,0.831683168,0.881188118
1,3.91,James,0.831683168,0.881188118
1,4.14,told,0.831683168,0.881188118
1,4.37,told,0.831683168,0.881188118
1,4.6,Nancy,0.831683168,0.881188118
1,4.83,to,0.831683168,0.881188118
1,5.06,to,0.831683168,0.881188118
1,5.29,at,0.831683168,0.881188118
1,5.52,home,0.831683168,0.881188118
1,5.75,and,0.702970297,0.722772277
1,5.98,he,0.702970297,0.722772277
1,6.21,search,0.702970297,0.722772277
1,6.44,the,0.702970297,0.722772277
1,6.67,whole,0.702970297,0.722772277
1,6.9,town,0.702970297,0.722772277
1,7.13,for,0.702970297,0.722772277
1,7.36,the,0.702970297,0.722772277
1,7.59,son,0.702970297,0.722772277
1,7.82,no,0.108910891,0.188118812
1,8.05,no,0.108910891,0.188118812
1,8.28,matter,0.108910891,0.188118812
1,8.51,how,0.108910891,0.188118812
1,8.74,long,0.108910891,0.188118812
1,8.97,it,0.108910891,0.188118812
1,9.2,took,0.108910891,0.188118812
1,9.43,took,0.108910891,0.188118812
1,9.66,For,0.801980198,0.851485148
1,9.89,For,0.801980198,0.851485148
1,10.12,days,0.801980198,0.851485148
1,10.35,James,0.801980198,0.851485148
1,10.58,had,0.801980198,0.851485148
1,10.81,been,0.801980198,0.851485148
1,11.04,searching,0.801980198,0.851485148
1,11.27,all,0.801980198,0.851485148
1,11.5,through,0.801980198,0.851485148
1,11.73,town,0.801980198,0.851485148
1,11.96,to,0.801980198,0.851485148
1,12.19,find,0.801980198,0.851485148
1,12.42,Peter,0.801980198,0.851485148
1,12.65,Peter,0.801980198,0.851485148
1,12.88,calling,0.742574257,0.762376237
1,13.11,calling,0.742574257,0.762376237
1,13.34,his,0.742574257,0.762376237
1,13.57,his,0.742574257,0.762376237
1,13.8,and,0.247524752,0.3366336629999999
1,14.03,hoping,0.247524752,0.3366336629999999
1,14.26,to,0.247524752,0.3366336629999999
1,14.49,hear,0.247524752,0.3366336629999999
1,14.72,his,0.247524752,0.3366336629999999
1,14.95,son's,0.247524752,0.3366336629999999
1,15.18,voice,0.247524752,0.3366336629999999
1,15.41,call,0.247524752,0.3366336629999999
1,15.64,back,0.247524752,0.3366336629999999
1,15.87,back,0.247524752,0.3366336629999999
1,16.1,back,0.247524752,0.3366336629999999
1,16.33,one,0.603960396,0.7128712869999999
1,16.56,one,0.603960396,0.7128712869999999
1,16.79,day,0.603960396,0.7128712869999999
1,17.02,while,0.603960396,0.7128712869999999
1,17.25,searching,0.603960396,0.7128712869999999
1,17.48,searching,0.603960396,0.7128712869999999
1,17.71,through,0.603960396,0.7128712869999999
1,17.94,an,0.603960396,0.7128712869999999
1,18.17,abandoned,0.603960396,0.7128712869999999
1,18.4,building,0.603960396,0.7128712869999999
1,18.63,building,0.603960396,0.7128712869999999
1,18.86,He,0.346534653,0.8217821780000001
1,19.09,He,0.346534653,0.8217821780000001
1,19.32,finally,0.346534653,0.8217821780000001
1,19.55,heard,0.346534653,0.8217821780000001
1,19.78,heard,0.346534653,0.8217821780000001
1,20.01,his,0.346534653,0.8217821780000001
1,20.24,son,0.346534653,0.8217821780000001
1,20.47,yelling,0.346534653,0.8217821780000001
1,20.7,to,0.346534653,0.8217821780000001
1,20.93,him,0.346534653,0.8217821780000001
1,21.16,him,0.346534653,0.8217821780000001
1,21.39,He,0.891089109,0.920792079
1,21.62,He,0.891089109,0.920792079
1,21.85,He,0.891089109,0.920792079
1,22.08,followed,0.891089109,0.920792079
1,22.31,the,0.891089109,0.920792079
1,22.54,voice,0.891089109,0.920792079
1,22.77,and,0.356435644,0.752475248
1,23.0,found,0.356435644,0.752475248
1,23.23,his,0.356435644,0.752475248
1,23.46,tied,0.356435644,0.752475248
1,23.69,to,0.356435644,0.752475248
1,23.92,to,0.356435644,0.752475248
1,24.15,chair,0.356435644,0.752475248
1,24.38,chair,0.356435644,0.752475248
1,24.61,chair,0.356435644,0.752475248
1,24.84,chair,0.356435644,0.752475248
1,25.07,chair,0.356435644,0.752475248
1,25.3,chair,0.356435644,0.752475248
1,25.53,chair,0.356435644,0.752475248
1,25.76,chair,0.356435644,0.752475248
1,25.99,chair,0.356435644,0.752475248
1,26.22,chair,0.356435644,0.752475248
2,26.45,After,0.762376238,0.8415841589999999
2,26.68,After,0.762376238,0.8415841589999999
2,26.91,After,0.762376238,0.8415841589999999
2,27.14,looking,0.762376238,0.8415841589999999
2,27.37,around,0.762376238,0.8415841589999999
2,27.6,to,0.762376238,0.8415841589999999
2,27.83,make,0.762376238,0.8415841589999999
2,28.06,sure,0.762376238,0.8415841589999999
2,28.29,no,0.762376238,0.8415841589999999
2,28.52,one,0.762376238,0.8415841589999999
2,28.75,else,0.762376238,0.8415841589999999
2,28.98,was,0.762376238,0.8415841589999999
2,29.21,there,0.762376238,0.8415841589999999
2,29.44,he,0.891089109,0.95049505
2,29.67,he,0.891089109,0.95049505
2,29.9,ran,0.891089109,0.95049505
2,30.13,to,0.891089109,0.95049505
2,30.36,his,0.891089109,0.95049505
2,30.59,son,0.891089109,0.95049505
2,30.82,untied,0.891089109,0.95049505
2,31.05,untied,0.891089109,0.95049505
2,31.28,untied,0.891089109,0.95049505
2,31.51,him,0.891089109,0.95049505
2,31.74,led,0.891089109,0.95049505
2,31.97,him,0.891089109,0.95049505
2,32.2,of,0.891089109,0.95049505
2,32.43,the,0.891089109,0.95049505
2,32.66,into,0.891089109,0.95049505
2,32.89,the,0.891089109,0.95049505
2,33.12,main,0.891089109,0.95049505
2,33.35,part,0.891089109,0.95049505
2,33.58,of,0.891089109,0.95049505
2,33.81,town,0.891089109,0.95049505
2,34.04,town,0.891089109,0.95049505
2,34.27,While,0.673267327,0.782178218
2,34.5,While,0.673267327,0.782178218
2,34.73,running,0.673267327,0.782178218
2,34.96,running,0.673267327,0.782178218
2,35.19,through,0.673267327,0.782178218
2,35.42,town,0.673267327,0.782178218
2,35.65,On,0.673267327,0.782178218
2,35.88,their,0.673267327,0.782178218
2,36.11,home,0.673267327,0.782178218
2,36.34,home,0.673267327,0.782178218
2,36.57,James,0.366336634,0.821782179
2,36.8,James,0.366336634,0.821782179
2,37.03,and,0.366336634,0.821782179
2,37.26,Peter,0.366336634,0.821782179
2,37.49,Peter,0.366336634,0.821782179
2,37.72,ran,0.366336634,0.821782179
2,37.95,into,0.366336634,0.821782179
2,38.18,James',0.366336634,0.821782179
2,38.41,James',0.366336634,0.821782179
2,38.64,good,0.366336634,0.821782179
2,38.87,friend,0.366336634,0.821782179
2,39.1,Matthew,0.366336634,0.821782179
2,39.33,Matthew,0.366336634,0.821782179
2,39.56,Matthew,0.366336634,0.821782179
2,39.79,Matthew,0.366336634,0.821782179
2,40.02,Matthew,0.366336634,0.821782179
2,40.25,Matthew,0.366336634,0.821782179
2,40.48,was,0.316831683,0.475247525
2,40.71,was,0.316831683,0.475247525
2,40.94,so,0.316831683,0.475247525
2,41.17,happy,0.316831683,0.475247525
2,41.4,that,0.396039604,0.524752475
2,41.63,James,0.396039604,0.524752475
2,41.86,had,0.396039604,0.524752475
