situation,time,word,biological_motion,nobiological_motion
1,0.0,Anna,0.311320755,0.688679245
1,0.23,Anna,0.311320755,0.688679245
1,0.46,Anna,0.311320755,0.688679245
1,0.69,and,0.311320755,0.688679245
1,0.92,her,0.311320755,0.688679245
1,1.15,husband,0.311320755,0.688679245
1,1.38,husband,0.311320755,0.688679245
1,1.61,Glen,0.311320755,0.688679245
1,1.84,Glen,0.311320755,0.688679245
1,2.07,Glen,0.311320755,0.688679245
1,2.3,were,0.311320755,0.688679245
1,2.53,were,0.311320755,0.688679245
1,2.76,in,0.311320755,0.688679245
1,2.99,prison,0.311320755,0.688679245
1,3.22,for,0.311320755,0.688679245
1,3.45,robbing,0.311320755,0.688679245
1,3.68,a,0.311320755,0.688679245
1,3.91,convenience,0.311320755,0.688679245
1,4.14,store,0.311320755,0.688679245
1,4.37,store,0.311320755,0.688679245
1,4.6,store,0.311320755,0.688679245
1,4.83,During,0.377358491,0.622641509
1,5.06,During,0.377358491,0.622641509
1,5.29,During,0.377358491,0.622641509
1,5.52,their,0.377358491,0.622641509
1,5.75,time,0.377358491,0.622641509
1,5.98,in,0.377358491,0.622641509
1,6.21,prison,0.377358491,0.622641509
1,6.44,prison,0.377358491,0.622641509
1,6.67,Anna,0.377358491,0.622641509
1,6.9,Anna,0.377358491,0.622641509
1,7.13,met,0.377358491,0.622641509
1,7.36,Jeff,0.377358491,0.622641509
1,7.59,Jeff,0.377358491,0.622641509
1,7.82,a,0.377358491,0.622641509
1,8.05,man,0.377358491,0.622641509
1,8.28,who,0.377358491,0.622641509
1,8.51,was,0.377358491,0.622641509
1,8.74,also,0.377358491,0.622641509
1,8.97,convicted,0.377358491,0.622641509
1,9.2,of,0.377358491,0.622641509
1,9.43,robbery,0.377358491,0.622641509
1,9.66,robbery,0.377358491,0.622641509
1,9.89,robbery,0.377358491,0.622641509
1,10.12,The,0.075471698,0.924528302
1,10.35,The,0.075471698,0.924528302
1,10.58,The,0.075471698,0.924528302
1,10.81,of,0.075471698,0.924528302
1,11.04,them,0.075471698,0.924528302
1,11.27,developed,0.075471698,0.924528302
1,11.5,a,0.075471698,0.924528302
1,11.73,strong,0.075471698,0.924528302
1,11.96,relationship,0.075471698,0.924528302
1,12.19,relationship,0.075471698,0.924528302
1,12.42,which,0.122641509,0.877358491
1,12.65,which,0.122641509,0.877358491
1,12.88,which,0.122641509,0.877358491
1,13.11,turned,0.122641509,0.877358491
1,13.34,into,0.122641509,0.877358491
1,13.57,into,0.122641509,0.877358491
1,13.8,a,0.122641509,0.877358491
1,14.03,romantic,0.122641509,0.877358491
1,14.26,affair,0.122641509,0.877358491
1,14.49,affair,0.122641509,0.877358491
1,14.72,Glen,0.066037736,0.933962264
1,14.95,Glen,0.066037736,0.933962264
1,15.18,Glen,0.066037736,0.933962264
1,15.41,was,0.066037736,0.933962264
1,15.64,not,0.066037736,0.933962264
1,15.87,aware,0.066037736,0.933962264
1,16.1,of,0.066037736,0.933962264
1,16.33,Anna's,0.066037736,0.933962264
1,16.56,infidelity,0.066037736,0.933962264
1,16.79,infidelity,0.066037736,0.933962264
1,17.02,infidelity,0.066037736,0.933962264
1,17.25,One,0.801886792,0.198113208
1,17.48,One,0.801886792,0.198113208
1,17.71,One,0.801886792,0.198113208
1,17.94,day,0.801886792,0.198113208
1,18.17,Glen,0.801886792,0.198113208
1,18.4,saw,0.801886792,0.198113208
1,18.63,Anna,0.801886792,0.198113208
1,18.86,walking,0.801886792,0.198113208
1,19.09,down,0.801886792,0.198113208
1,19.32,down,0.801886792,0.198113208
1,19.55,a,0.801886792,0.198113208
1,19.78,a,0.801886792,0.198113208
1,20.01,hallway,0.801886792,0.198113208
1,20.24,by,0.801886792,0.198113208
1,20.47,herself,0.801886792,0.198113208
1,20.7,herself,0.801886792,0.198113208
1,20.93,so,0.849056604,0.150943396
1,21.16,so,0.849056604,0.150943396
1,21.39,he,0.849056604,0.150943396
1,21.62,followed,0.849056604,0.150943396
1,21.85,her,0.849056604,0.150943396
1,22.08,as,0.745283019,0.254716981
1,22.31,she,0.745283019,0.254716981
1,22.54,her,0.745283019,0.254716981
1,22.77,way,0.745283019,0.254716981
1,23.0,a,0.745283019,0.254716981
1,23.23,storage,0.745283019,0.254716981
1,23.46,closet,0.745283019,0.254716981
1,23.69,closet,0.745283019,0.254716981
1,23.92,After,0.867924528,0.132075472
1,24.15,After,0.867924528,0.132075472
1,24.38,After,0.867924528,0.132075472
1,24.61,she,0.867924528,0.132075472
1,24.84,entered,0.867924528,0.132075472
1,25.07,entered,0.867924528,0.132075472
1,25.3,closet,0.867924528,0.132075472
1,25.53,closet,0.867924528,0.132075472
1,25.76,Glen,0.216981132,0.783018868
1,25.99,Glen,0.216981132,0.783018868
1,26.22,waited,0.216981132,0.783018868
1,26.45,ten,0.216981132,0.783018868
1,26.68,ten,0.216981132,0.783018868
1,26.91,minutes,0.216981132,0.783018868
1,27.14,and,0.905660377,0.094339623
1,27.37,then,0.905660377,0.094339623
1,27.6,went,0.905660377,0.094339623
1,27.83,and,0.905660377,0.094339623
1,28.06,knocked,0.905660377,0.094339623
1,28.29,on,0.905660377,0.094339623
1,28.52,door,0.905660377,0.094339623
1,28.75,door,0.905660377,0.094339623
1,28.98,After,0.075471698,0.924528302
1,29.21,After,0.075471698,0.924528302
1,29.44,After,0.075471698,0.924528302
1,29.67,a,0.075471698,0.924528302
1,29.9,had,0.075471698,0.924528302
1,30.13,gone,0.075471698,0.924528302
1,30.36,by,0.075471698,0.924528302
1,30.59,by,0.075471698,0.924528302
1,30.82,Anna,0.924528302,0.075471698
1,31.05,Anna,0.924528302,0.075471698
1,31.28,opened,0.924528302,0.075471698
1,31.51,the,0.924528302,0.075471698
1,31.74,door,0.924528302,0.075471698
1,31.97,and,0.386792453,0.613207547
1,32.2,was,0.386792453,0.613207547
1,32.43,surprised,0.386792453,0.613207547
1,32.66,to,0.386792453,0.613207547
1,32.89,see,0.386792453,0.613207547
1,33.12,Glen,0.386792453,0.613207547
1,33.35,Glen,0.386792453,0.613207547
1,33.58,standing,0.386792453,0.613207547
1,33.81,before,0.386792453,0.613207547
1,34.04,her,0.386792453,0.613207547
1,34.27,her,0.386792453,0.613207547
1,34.5,He,0.905660377,0.094339623
1,34.73,He,0.905660377,0.094339623
1,34.96,He,0.905660377,0.094339623
1,35.19,pulled,0.905660377,0.094339623
1,35.42,out,0.905660377,0.094339623
1,35.65,of,0.905660377,0.094339623
1,35.88,room,0.905660377,0.094339623
1,36.11,and,0.905660377,0.094339623
1,36.34,that,0.056603774,0.943396226
1,36.57,her,0.056603774,0.943396226
1,36.8,shirt,0.056603774,0.943396226
1,37.03,was,0.056603774,0.943396226
1,37.26,inside,0.056603774,0.943396226
1,37.49,out,0.056603774,0.943396226
1,37.72,and,0.056603774,0.943396226
1,37.95,and,0.056603774,0.943396226
1,38.18,backwards,0.056603774,0.943396226
1,38.41,backwards,0.056603774,0.943396226
1,38.64,He,0.905660377,0.094339623
1,38.87,He,0.905660377,0.094339623
1,39.1,He,0.905660377,0.094339623
1,39.33,grabbed,0.905660377,0.094339623
1,39.56,her,0.905660377,0.094339623
1,39.79,by,0.905660377,0.094339623
1,40.02,the,0.905660377,0.094339623
1,40.25,arms,0.905660377,0.094339623
1,40.48,started,0.905660377,0.094339623
1,40.71,started,0.905660377,0.094339623
1,40.94,shaking,0.905660377,0.094339623
1,41.17,shaking,0.905660377,0.094339623
1,41.4,her,0.905660377,0.094339623
1,41.63,her,0.905660377,0.094339623
1,41.86,and,0.905660377,0.094339623
1,42.09,and,0.905660377,0.094339623
1,42.32,asked,0.905660377,0.094339623
1,42.55,her,0.905660377,0.094339623
1,42.78,she,0.905660377,0.094339623
1,43.01,was,0.905660377,0.094339623
1,43.24,doing,0.905660377,0.094339623
1,43.47,in,0.905660377,0.094339623
1,43.7,closet,0.905660377,0.094339623
1,43.93,closet,0.905660377,0.094339623
1,44.16,closet,0.905660377,0.094339623
1,44.39,His,0.820754717,0.179245283
1,44.62,His,0.820754717,0.179245283
1,44.85,shaking,0.820754717,0.179245283
1,45.08,became,0.820754717,0.179245283
1,45.31,became,0.820754717,0.179245283
1,45.54,so,0.820754717,0.179245283
1,45.77,so,0.820754717,0.179245283
1,46.0,violent,0.820754717,0.179245283
1,46.23,that,0.905660377,0.094339623
1,46.46,he,0.905660377,0.094339623
1,46.69,shoved,0.905660377,0.094339623
1,46.92,her,0.905660377,0.094339623
1,47.15,the,0.905660377,0.094339623
1,47.38,ground,0.905660377,0.094339623
1,47.61,ground,0.905660377,0.094339623
1,47.84,as,0.518867925,0.481132075
1,48.07,as,0.518867925,0.481132075
1,48.3,as,0.518867925,0.481132075
1,48.53,he,0.518867925,0.481132075
1,48.76,about,0.518867925,0.481132075
1,48.99,to,0.518867925,0.481132075
1,49.22,hit,0.518867925,0.481132075
1,49.45,her,0.518867925,0.481132075
1,49.68,Jeff,0.952830189,0.047169811
1,49.91,Jeff,0.952830189,0.047169811
1,50.14,came,0.952830189,0.047169811
1,50.37,out,0.952830189,0.047169811
1,50.6,the,0.952830189,0.047169811
1,50.83,closet,0.952830189,0.047169811
1,51.06,and,0.952830189,0.047169811
1,51.29,grabbed,0.952830189,0.047169811
1,51.52,Glen's,0.952830189,0.047169811
1,51.75,Glen's,0.952830189,0.047169811
1,51.98,hand,0.952830189,0.047169811
1,52.21,before,0.358490566,0.641509434
1,52.44,he,0.358490566,0.641509434
1,52.67,could,0.358490566,0.641509434
1,52.9,Anna,0.358490566,0.641509434
1,53.13,again,0.358490566,0.641509434
1,53.36,again,0.358490566,0.641509434
1,53.59,again,0.358490566,0.641509434
1,53.82,again,0.358490566,0.641509434
1,54.05,again,0.358490566,0.641509434
1,54.28,again,0.358490566,0.641509434
1,54.51,again,0.358490566,0.641509434
1,54.74,again,0.358490566,0.641509434
1,54.97,again,0.358490566,0.641509434
1,55.2,again,0.358490566,0.641509434
1,55.43,again,0.358490566,0.641509434
2,55.66,Jeff,0.943396226,0.056603774
2,55.89,Jeff,0.943396226,0.056603774
2,56.12,Jeff,0.943396226,0.056603774
2,56.35,knelt,0.943396226,0.056603774
2,56.58,knelt,0.943396226,0.056603774
2,56.81,by,0.943396226,0.056603774
2,57.04,side,0.943396226,0.056603774
2,57.27,side,0.943396226,0.056603774
2,57.5,and,0.943396226,0.056603774
2,57.73,her,0.943396226,0.056603774
2,57.96,hand,0.943396226,0.056603774
2,58.19,hand,0.943396226,0.056603774
2,58.42,They,0.245283019,0.754716981
2,58.65,They,0.245283019,0.754716981
2,58.88,They,0.245283019,0.754716981
2,59.11,discussed,0.245283019,0.754716981
2,59.34,that,0.245283019,0.754716981
2,59.57,that,0.245283019,0.754716981
2,59.8,something,0.113207547,0.886792453
2,60.03,had,0.113207547,0.886792453
2,60.26,to,0.113207547,0.886792453
2,60.49,done,0.113207547,0.886792453
2,60.72,about,0.113207547,0.886792453
2,60.95,Glen,0.113207547,0.886792453
2,61.18,Glen,0.113207547,0.886792453
2,61.41,Glen,0.113207547,0.886792453
2,61.64,Glen,0.113207547,0.886792453
2,61.87,Glen,0.113207547,0.886792453
2,62.1,Glen,0.113207547,0.886792453
2,62.33,Glen,0.113207547,0.886792453
2,62.56,Glen,0.113207547,0.886792453
2,62.79,Glen,0.113207547,0.886792453
3,63.02,Glen,0.113207547,0.886792453
3,63.25,Glen,0.113207547,0.886792453
3,63.48,Glen,0.113207547,0.886792453
3,63.71,could,0.113207547,0.886792453
