situation,time,word,biological_motion,nobiological_motion
1,0.0,It,0.047169811,0.952830189
1,0.23,was,0.047169811,0.952830189
1,0.46,was,0.047169811,0.952830189
1,0.69,just,0.047169811,0.952830189
1,0.92,another,0.047169811,0.952830189
1,1.15,another,0.047169811,0.952830189
1,1.38,Sunday,0.047169811,0.952830189
1,1.61,afternoon,0.047169811,0.952830189
1,1.84,for,0.047169811,0.952830189
1,2.07,for,0.047169811,0.952830189
1,2.3,Lucy,0.047169811,0.952830189
1,2.53,she,0.745283019,0.254716981
1,2.76,she,0.745283019,0.254716981
1,2.99,was,0.745283019,0.254716981
1,3.22,on,0.745283019,0.254716981
1,3.45,on,0.745283019,0.254716981
1,3.68,her,0.745283019,0.254716981
1,3.91,way,0.745283019,0.254716981
1,4.14,way,0.745283019,0.254716981
1,4.37,to,0.745283019,0.254716981
1,4.6,the,0.745283019,0.254716981
1,4.83,the,0.745283019,0.254716981
1,5.06,farmer's,0.745283019,0.254716981
1,5.29,market,0.745283019,0.254716981
1,5.52,to,0.745283019,0.254716981
1,5.75,to,0.745283019,0.254716981
1,5.98,pick,0.745283019,0.254716981
1,6.21,up,0.745283019,0.254716981
1,6.44,up,0.745283019,0.254716981
1,6.67,some,0.745283019,0.254716981
1,6.9,produce,0.745283019,0.254716981
1,7.13,produce,0.745283019,0.254716981
1,7.36,When,0.575471698,0.424528302
1,7.59,she,0.575471698,0.424528302
1,7.82,she,0.575471698,0.424528302
1,8.05,arrived,0.575471698,0.424528302
1,8.28,at,0.575471698,0.424528302
1,8.51,the,0.575471698,0.424528302
1,8.74,the,0.575471698,0.424528302
1,8.97,old,0.575471698,0.424528302
1,9.2,train,0.575471698,0.424528302
1,9.43,train,0.575471698,0.424528302
1,9.66,depot,0.575471698,0.424528302
1,9.89,that,0.575471698,0.424528302
1,10.12,that,0.575471698,0.424528302
1,10.35,housed,0.575471698,0.424528302
1,10.58,the,0.575471698,0.424528302
1,10.81,the,0.575471698,0.424528302
1,11.04,market,0.575471698,0.424528302
1,11.27,she,0.745283019,0.254716981
1,11.5,noticed,0.745283019,0.254716981
1,11.73,noticed,0.745283019,0.254716981
1,11.96,two,0.745283019,0.254716981
1,12.19,men,0.745283019,0.254716981
1,12.42,men,0.745283019,0.254716981
1,12.65,fighting,0.745283019,0.254716981
1,12.88,on,0.745283019,0.254716981
1,13.11,on,0.745283019,0.254716981
1,13.34,the,0.745283019,0.254716981
1,13.57,steps,0.745283019,0.254716981
1,13.8,steps,0.745283019,0.254716981
1,14.03,Before,0.264150943,0.735849057
1,14.26,she,0.264150943,0.735849057
1,14.49,she,0.264150943,0.735849057
1,14.72,could,0.264150943,0.735849057
1,14.95,call,0.264150943,0.735849057
1,15.18,for,0.264150943,0.735849057
1,15.41,for,0.264150943,0.735849057
1,15.64,help,0.264150943,0.735849057
1,15.87,one,0.933962264,0.066037736
1,16.1,one,0.933962264,0.066037736
1,16.33,of,0.933962264,0.066037736
1,16.56,the,0.933962264,0.066037736
1,16.79,the,0.933962264,0.066037736
1,17.02,men,0.933962264,0.066037736
1,17.25,crumpled,0.933962264,0.066037736
1,17.48,crumpled,0.933962264,0.066037736
1,17.71,to,0.933962264,0.066037736
1,17.94,his,0.933962264,0.066037736
1,18.17,knees,0.933962264,0.066037736
1,18.4,knees,0.933962264,0.066037736
1,18.63,The,0.886792453,0.113207547
1,18.86,other,0.886792453,0.113207547
1,19.09,other,0.886792453,0.113207547
1,19.32,man,0.886792453,0.113207547
1,19.55,dropped,0.886792453,0.113207547
1,19.78,dropped,0.886792453,0.113207547
1,20.01,an,0.886792453,0.113207547
1,20.24,object,0.886792453,0.113207547
1,20.47,object,0.886792453,0.113207547
1,20.7,that,0.886792453,0.113207547
1,20.93,appeared,0.886792453,0.113207547
1,21.16,appeared,0.886792453,0.113207547
1,21.39,to,0.886792453,0.113207547
1,21.62,be,0.886792453,0.113207547
1,21.85,a,0.886792453,0.113207547
1,22.08,a,0.886792453,0.113207547
1,22.31,knife,0.886792453,0.113207547
1,22.54,and,0.952830189,0.047169811
1,22.77,and,0.952830189,0.047169811
1,23.0,ran,0.952830189,0.047169811
1,23.23,off,0.952830189,0.047169811
1,23.46,off,0.952830189,0.047169811
1,23.69,When,0.783018868,0.20754717
1,23.92,Lucy,0.783018868,0.20754717
1,24.15,Lucy,0.783018868,0.20754717
1,24.38,approached,0.783018868,0.20754717
1,24.61,the,0.783018868,0.20754717
1,24.84,crime,0.783018868,0.20754717
1,25.07,crime,0.783018868,0.20754717
1,25.3,scene,0.783018868,0.20754717
1,25.53,she,0.08490566,0.91509434
1,25.76,she,0.08490566,0.91509434
1,25.99,realized,0.08490566,0.91509434
1,26.22,that,0.20754717,0.79245283
1,26.45,that,0.20754717,0.79245283
1,26.68,the,0.20754717,0.79245283
1,26.91,man,0.20754717,0.79245283
1,27.14,man,0.20754717,0.79245283
1,27.37,who,0.20754717,0.79245283
1,27.6,had,0.20754717,0.79245283
