ID,time,rating
sub-002,0.0,
sub-004,0.0,
sub-005,0.0,
sub-007,0.0,
sub-008,0.0,
sub-009,0.0,
sub-010,0.0,
sub-011,0.0,
sub-013,0.0,
sub-014,0.0,
sub-015,0.0,
sub-017,0.0,
sub-018,0.0,
sub-019,0.0,
sub-020,0.0,
sub-022,0.0,
sub-032,0.0,
sub-034,0.0,
sub-036,0.0,
sub-037,0.0,
sub-038,0.0,53.3
sub-040,0.0,
sub-041,0.0,
sub-046,0.0,
sub-051,0.0,
sub-052,0.0,
sub-053,0.0,
sub-057,0.0,
sub-059,0.0,
sub-061,0.0,
sub-067,0.0,
sub-070,0.0,
sub-071,0.0,
sub-073,0.0,
sub-075,0.0,
sub-077,0.0,
sub-079,0.0,47.8
sub-080,0.0,
sub-081,0.0,
sub-084,0.0,
sub-087,0.0,
sub-088,0.0,
sub-090,0.0,
sub-093,0.0,
sub-096,0.0,
sub-098,0.0,
sub-099,0.0,
sub-101,0.0,
sub-105,0.0,
sub-106,0.0,
sub-109,0.0,
sub-111,0.0,
sub-112,0.0,
sub-116,0.0,
sub-121,0.0,
sub-122,0.0,35.4
sub-123,0.0,
sub-124,0.0,
sub-125,0.0,
sub-130,0.0,
sub-132,0.0,
sub-134,0.0,
sub-135,0.0,
sub-141,0.0,
sub-142,0.0,
sub-144,0.0,
sub-145,0.0,
sub-150,0.0,
sub-154,0.0,
sub-155,0.0,
sub-156,0.0,
sub-158,0.0,47.6
sub-162,0.0,
sub-163,0.0,
sub-165,0.0,
sub-169,0.0,
sub-170,0.0,
sub-176,0.0,
sub-181,0.0,
sub-183,0.0,
sub-184,0.0,
sub-189,0.0,
sub-191,0.0,
sub-194,0.0,
sub-198,0.0,
sub-203,0.0,
sub-204,0.0,
sub-206,0.0,
sub-207,0.0,
sub-211,0.0,
sub-216,0.0,
sub-218,0.0,
sub-223,0.0,
sub-225,0.0,83.0
sub-227,0.0,
sub-228,0.0,
sub-002,0.23,
sub-004,0.23,60.7
sub-005,0.23,
sub-007,0.23,
sub-008,0.23,
sub-009,0.23,
sub-010,0.23,
sub-011,0.23,
sub-013,0.23,
sub-014,0.23,
sub-015,0.23,
sub-017,0.23,
sub-018,0.23,
sub-019,0.23,
sub-020,0.23,
sub-022,0.23,
sub-032,0.23,
sub-034,0.23,
sub-036,0.23,
sub-037,0.23,
sub-038,0.23,51.83090909090909
sub-040,0.23,
sub-041,0.23,
sub-046,0.23,
sub-051,0.23,
sub-052,0.23,
sub-053,0.23,
sub-057,0.23,
sub-059,0.23,
sub-061,0.23,
sub-067,0.23,
sub-070,0.23,
sub-071,0.23,
sub-073,0.23,
sub-075,0.23,
sub-077,0.23,
sub-079,0.23,47.8
sub-080,0.23,
sub-081,0.23,
sub-084,0.23,
sub-087,0.23,
sub-088,0.23,
sub-090,0.23,
sub-093,0.23,
sub-096,0.23,
sub-098,0.23,
sub-099,0.23,
sub-101,0.23,
sub-105,0.23,
sub-106,0.23,
sub-109,0.23,
sub-111,0.23,49.5
sub-112,0.23,
sub-116,0.23,
sub-121,0.23,
sub-122,0.23,35.4
sub-123,0.23,
sub-124,0.23,
sub-125,0.23,
sub-130,0.23,
sub-132,0.23,
sub-134,0.23,
sub-135,0.23,52.9
sub-141,0.23,
sub-142,0.23,
sub-144,0.23,
sub-145,0.23,
sub-150,0.23,
sub-154,0.23,
sub-155,0.23,
sub-156,0.23,
sub-158,0.23,47.5
sub-162,0.23,
sub-163,0.23,
sub-165,0.23,
sub-169,0.23,
sub-170,0.23,
sub-176,0.23,
sub-181,0.23,
sub-183,0.23,
sub-184,0.23,
sub-189,0.23,
sub-191,0.23,
sub-194,0.23,
sub-198,0.23,
sub-203,0.23,
sub-204,0.23,
sub-206,0.23,
sub-207,0.23,
sub-211,0.23,
sub-216,0.23,
sub-218,0.23,
sub-223,0.23,
sub-225,0.23,82.85833333333333
sub-227,0.23,
sub-228,0.23,
sub-002,0.46,
sub-004,0.46,64.58514851485148
sub-005,0.46,
sub-007,0.46,
sub-008,0.46,
sub-009,0.46,
sub-010,0.46,
sub-011,0.46,
sub-013,0.46,
sub-014,0.46,54.9
sub-015,0.46,
sub-017,0.46,
sub-018,0.46,
sub-019,0.46,
sub-020,0.46,
sub-022,0.46,
sub-032,0.46,
sub-034,0.46,
sub-036,0.46,
sub-037,0.46,
sub-038,0.46,49.7
sub-040,0.46,
sub-041,0.46,91.6
sub-046,0.46,31.5
sub-051,0.46,
sub-052,0.46,
sub-053,0.46,
sub-057,0.46,
sub-059,0.46,
sub-061,0.46,
sub-067,0.46,
sub-070,0.46,
sub-071,0.46,
sub-073,0.46,35.8
sub-075,0.46,
sub-077,0.46,
sub-079,0.46,48.86341463414634
sub-080,0.46,
sub-081,0.46,
sub-084,0.46,
sub-087,0.46,20.8
sub-088,0.46,
sub-090,0.46,
sub-093,0.46,
sub-096,0.46,
sub-098,0.46,
sub-099,0.46,49.7
sub-101,0.46,
sub-105,0.46,
sub-106,0.46,
sub-109,0.46,
sub-111,0.46,49.5
sub-112,0.46,
sub-116,0.46,
sub-121,0.46,
sub-122,0.46,35.4
sub-123,0.46,
sub-124,0.46,
sub-125,0.46,
sub-130,0.46,
sub-132,0.46,
sub-134,0.46,
sub-135,0.46,52.9
sub-141,0.46,
sub-142,0.46,
sub-144,0.46,
sub-145,0.46,
sub-150,0.46,
sub-154,0.46,
sub-155,0.46,
sub-156,0.46,
sub-158,0.46,47.6
sub-162,0.46,
sub-163,0.46,
sub-165,0.46,74.8
sub-169,0.46,
sub-170,0.46,
sub-176,0.46,
sub-181,0.46,
sub-183,0.46,
sub-184,0.46,
sub-189,0.46,
sub-191,0.46,
sub-194,0.46,
sub-198,0.46,
sub-203,0.46,
sub-204,0.46,
sub-206,0.46,
sub-207,0.46,
sub-211,0.46,
sub-216,0.46,
sub-218,0.46,
sub-223,0.46,
sub-225,0.46,82.7
sub-227,0.46,
sub-228,0.46,
sub-002,0.69,
sub-004,0.69,71.34444444444445
sub-005,0.69,
sub-007,0.69,
sub-008,0.69,56.1
sub-009,0.69,
sub-010,0.69,
sub-011,0.69,
sub-013,0.69,
sub-014,0.69,52.4
sub-015,0.69,
sub-017,0.69,38.2
sub-018,0.69,
sub-019,0.69,
sub-020,0.69,
sub-022,0.69,
sub-032,0.69,68.1
sub-034,0.69,
sub-036,0.69,
sub-037,0.69,
sub-038,0.69,49.7
sub-040,0.69,3.9
sub-041,0.69,91.69756097560976
sub-046,0.69,31.7
sub-051,0.69,
sub-052,0.69,
sub-053,0.69,
sub-057,0.69,
sub-059,0.69,
sub-061,0.69,
sub-067,0.69,
sub-070,0.69,
sub-071,0.69,
sub-073,0.69,9.804819277108434
sub-075,0.69,
sub-077,0.69,46.8
sub-079,0.69,49.8
sub-080,0.69,
sub-081,0.69,
sub-084,0.69,
sub-087,0.69,23.136708860759494
sub-088,0.69,
sub-090,0.69,
sub-093,0.69,
sub-096,0.69,
sub-098,0.69,
sub-099,0.69,49.6
sub-101,0.69,
sub-105,0.69,
sub-106,0.69,
sub-109,0.69,
sub-111,0.69,49.5
sub-112,0.69,
sub-116,0.69,
sub-121,0.69,
sub-122,0.69,35.255421686746985
sub-123,0.69,
sub-124,0.69,
sub-125,0.69,
sub-130,0.69,
sub-132,0.69,
sub-134,0.69,
sub-135,0.69,52.9
sub-141,0.69,
sub-142,0.69,
sub-144,0.69,
sub-145,0.69,
sub-150,0.69,
sub-154,0.69,
sub-155,0.69,
sub-156,0.69,
sub-158,0.69,47.4
sub-162,0.69,
sub-163,0.69,
sub-165,0.69,74.9
sub-169,0.69,
sub-170,0.69,
sub-176,0.69,30.5
sub-181,0.69,
sub-183,0.69,69.30481927710844
sub-184,0.69,30.1
sub-189,0.69,
sub-191,0.69,99.3
sub-194,0.69,
sub-198,0.69,
sub-203,0.69,
sub-204,0.69,
sub-206,0.69,
sub-207,0.69,
sub-211,0.69,
sub-216,0.69,
sub-218,0.69,
sub-223,0.69,
sub-225,0.69,82.35476190476192
sub-227,0.69,
sub-228,0.69,
sub-002,0.92,
sub-004,0.92,75.82
sub-005,0.92,45.079
sub-007,0.92,
sub-008,0.92,56.1
sub-009,0.92,
sub-010,0.92,
sub-011,0.92,
sub-013,0.92,
sub-014,0.92,55.37142857142857
sub-015,0.92,85.6
sub-017,0.92,40.71658291457286
sub-018,0.92,
sub-019,0.92,
sub-020,0.92,
sub-022,0.92,
sub-032,0.92,54.6
sub-034,0.92,
sub-036,0.92,
sub-037,0.92,
sub-038,0.92,49.7
sub-040,0.92,3.9408
sub-041,0.92,91.83571428571429
sub-046,0.92,31.7
sub-051,0.92,
sub-052,0.92,
sub-053,0.92,
sub-057,0.92,
sub-059,0.92,
sub-061,0.92,
sub-067,0.92,
sub-070,0.92,
sub-071,0.92,
sub-073,0.92,1.9036144578313252
sub-075,0.92,
sub-077,0.92,40.25180722891566
sub-079,0.92,49.8
sub-080,0.92,
sub-081,0.92,
sub-084,0.92,68.0
sub-087,0.92,28.197590361445783
sub-088,0.92,
sub-090,0.92,7.1
sub-093,0.92,
sub-096,0.92,
sub-098,0.92,
sub-099,0.92,49.632000000000005
sub-101,0.92,
sub-105,0.92,
sub-106,0.92,
sub-109,0.92,
sub-111,0.92,49.5
sub-112,0.92,
sub-116,0.92,
sub-121,0.92,
sub-122,0.92,8.918072289156626
sub-123,0.92,
sub-124,0.92,
sub-125,0.92,
sub-130,0.92,
sub-132,0.92,
sub-134,0.92,
sub-135,0.92,52.9
sub-141,0.92,
sub-142,0.92,
sub-144,0.92,
sub-145,0.92,
sub-150,0.92,
sub-154,0.92,
sub-155,0.92,17.2
sub-156,0.92,
sub-158,0.92,47.6
sub-162,0.92,
sub-163,0.92,
sub-165,0.92,74.9
sub-169,0.92,
sub-170,0.92,
sub-176,0.92,31.114457831325304
sub-181,0.92,
sub-183,0.92,70.3144578313253
sub-184,0.92,27.494285714285713
sub-189,0.92,52.4
sub-191,0.92,99.3
sub-194,0.92,
sub-198,0.92,
sub-203,0.92,
sub-204,0.92,
sub-206,0.92,
sub-207,0.92,
sub-211,0.92,
sub-216,0.92,
sub-218,0.92,
sub-223,0.92,
sub-225,0.92,81.9
sub-227,0.92,
sub-228,0.92,
sub-002,1.15,87.8
sub-004,1.15,74.75671641791044
sub-005,1.15,43.6
sub-007,1.15,
sub-008,1.15,56.1
sub-009,1.15,
sub-010,1.15,
sub-011,1.15,
sub-013,1.15,
sub-014,1.15,57.3
sub-015,1.15,85.6
sub-017,1.15,42.0295
sub-018,1.15,57.1
sub-019,1.15,
sub-020,1.15,
sub-022,1.15,
sub-032,1.15,54.6
sub-034,1.15,
sub-036,1.15,
sub-037,1.15,
sub-038,1.15,49.7
sub-040,1.15,3.996
sub-041,1.15,95.64578313253011
sub-046,1.15,31.7
sub-051,1.15,
sub-052,1.15,
sub-053,1.15,
sub-057,1.15,
sub-059,1.15,
sub-061,1.15,
sub-067,1.15,
sub-070,1.15,51.34
sub-071,1.15,
sub-073,1.15,1.0
sub-075,1.15,
sub-077,1.15,38.4
sub-079,1.15,49.8
sub-080,1.15,
sub-081,1.15,
sub-084,1.15,67.7593023255814
sub-087,1.15,33.71084337349397
sub-088,1.15,
sub-090,1.15,7.1
sub-093,1.15,
sub-096,1.15,
sub-098,1.15,
sub-099,1.15,49.7
sub-101,1.15,
sub-105,1.15,
sub-106,1.15,
sub-109,1.15,
sub-111,1.15,49.5
sub-112,1.15,30.6144578313253
sub-116,1.15,
sub-121,1.15,
sub-122,1.15,4.989156626506024
sub-123,1.15,
sub-124,1.15,51.7
sub-125,1.15,
sub-130,1.15,19.4
sub-132,1.15,
sub-134,1.15,
sub-135,1.15,51.26987951807229
sub-141,1.15,
sub-142,1.15,
sub-144,1.15,
sub-145,1.15,
sub-150,1.15,49.28072289156626
sub-154,1.15,55.4
sub-155,1.15,17.57926829268293
sub-156,1.15,
sub-158,1.15,47.519277108433734
sub-162,1.15,
sub-163,1.15,
sub-165,1.15,75.20930232558139
sub-169,1.15,
sub-170,1.15,
sub-176,1.15,31.4
sub-181,1.15,
sub-183,1.15,70.6
sub-184,1.15,20.41780821917808
sub-189,1.15,50.4
sub-191,1.15,99.46404494382023
sub-194,1.15,
sub-198,1.15,
sub-203,1.15,
sub-204,1.15,
sub-206,1.15,
sub-207,1.15,
sub-211,1.15,50.1
sub-216,1.15,
sub-218,1.15,
sub-223,1.15,
sub-225,1.15,81.9
sub-227,1.15,50.2
sub-228,1.15,
sub-002,1.38,87.3484693877551
sub-004,1.38,74.3
sub-005,1.38,43.6
sub-007,1.38,51.9
sub-008,1.38,56.1
sub-009,1.38,
sub-010,1.38,
sub-011,1.38,
sub-013,1.38,
sub-014,1.38,57.3
sub-015,1.38,84.83012048192771
sub-017,1.38,42.1
sub-018,1.38,56.90967741935484
sub-019,1.38,
sub-020,1.38,
sub-022,1.38,
sub-032,1.38,50.8
sub-034,1.38,
sub-036,1.38,
sub-037,1.38,
sub-038,1.38,49.7
sub-040,1.38,4.0512
sub-041,1.38,96.91882352941177
sub-046,1.38,31.7
sub-051,1.38,
sub-052,1.38,
sub-053,1.38,
sub-057,1.38,
sub-059,1.38,
sub-061,1.38,
sub-067,1.38,
sub-070,1.38,54.4
sub-071,1.38,
sub-073,1.38,1.0
sub-075,1.38,
sub-077,1.38,38.4
sub-079,1.38,49.8
sub-080,1.38,
sub-081,1.38,
sub-084,1.38,66.06744186046511
sub-087,1.38,38.01547619047619
sub-088,1.38,
sub-090,1.38,7.2
sub-093,1.38,
sub-096,1.38,
sub-098,1.38,
sub-099,1.38,49.7
sub-101,1.38,
sub-105,1.38,
sub-106,1.38,39.420318725099605
sub-109,1.38,
sub-111,1.38,49.5
sub-112,1.38,32.2
sub-116,1.38,
sub-121,1.38,61.6
sub-122,1.38,3.8433734939759034
sub-123,1.38,
sub-124,1.38,51.15301204819277
sub-125,1.38,
sub-130,1.38,17.17831325301205
sub-132,1.38,
sub-134,1.38,
sub-135,1.38,48.9
sub-141,1.38,
sub-142,1.38,
sub-144,1.38,
sub-145,1.38,
sub-150,1.38,38.78915662650603
sub-154,1.38,55.2
sub-155,1.38,17.8
sub-156,1.38,0.5
sub-158,1.38,47.6
sub-162,1.38,
sub-163,1.38,
sub-165,1.38,75.35487804878049
sub-169,1.38,
sub-170,1.38,
sub-176,1.38,31.8
sub-181,1.38,
sub-183,1.38,72.06626506024097
sub-184,1.38,17.03142857142857
sub-189,1.38,50.4
sub-191,1.38,99.8
sub-194,1.38,
sub-198,1.38,
sub-203,1.38,
sub-204,1.38,
sub-206,1.38,
sub-207,1.38,
sub-211,1.38,45.41176470588235
sub-216,1.38,
sub-218,1.38,
sub-223,1.38,
sub-225,1.38,81.9
sub-227,1.38,50.16902654867257
sub-228,1.38,
sub-002,1.61,87.3
sub-004,1.61,74.3
sub-005,1.61,16.646
sub-007,1.61,51.54060913705584
sub-008,1.61,55.403535353535354
sub-009,1.61,
sub-010,1.61,
sub-011,1.61,
sub-013,1.61,
sub-014,1.61,57.3
sub-015,1.61,84.7
sub-017,1.61,42.1
sub-018,1.61,55.233333333333334
sub-019,1.61,
sub-020,1.61,
sub-022,1.61,
sub-032,1.61,50.8
sub-034,1.61,
sub-036,1.61,
sub-037,1.61,
sub-038,1.61,49.7
sub-040,1.61,4.1064
sub-041,1.61,98.96265060240964
sub-046,1.61,31.7
sub-051,1.61,
sub-052,1.61,53.0
sub-053,1.61,
sub-057,1.61,
sub-059,1.61,
sub-061,1.61,
sub-067,1.61,
sub-070,1.61,54.4
sub-071,1.61,
sub-073,1.61,1.0
sub-075,1.61,
sub-077,1.61,38.4
sub-079,1.61,49.8
sub-080,1.61,
sub-081,1.61,
sub-084,1.61,59.947766323024055
sub-087,1.61,41.15925925925926
sub-088,1.61,
sub-090,1.61,7.2
sub-093,1.61,
sub-096,1.61,
sub-098,1.61,
sub-099,1.61,46.98
sub-101,1.61,
sub-105,1.61,
sub-106,1.61,19.5
sub-109,1.61,
sub-111,1.61,49.06904761904762
sub-112,1.61,32.2
sub-116,1.61,
sub-121,1.61,60.03928571428572
sub-122,1.61,3.8
sub-123,1.61,
sub-124,1.61,57.68072289156626
sub-125,1.61,
sub-130,1.61,16.4
sub-132,1.61,
sub-134,1.61,
sub-135,1.61,50.06506024096386
sub-141,1.61,
sub-142,1.61,57.2
sub-144,1.61,
sub-145,1.61,
sub-150,1.61,18.6
sub-154,1.61,54.733333333333334
sub-155,1.61,17.8
sub-156,1.61,0.5857831325301205
sub-158,1.61,48.03734939759036
sub-162,1.61,
sub-163,1.61,
sub-165,1.61,75.4
sub-169,1.61,
sub-170,1.61,
sub-176,1.61,31.8
sub-181,1.61,
sub-183,1.61,73.82289156626507
sub-184,1.61,25.542857142857144
sub-189,1.61,50.4
sub-191,1.61,99.8
sub-194,1.61,
sub-198,1.61,
sub-203,1.61,
sub-204,1.61,
sub-206,1.61,
sub-207,1.61,
sub-211,1.61,43.10941176470588
sub-216,1.61,
sub-218,1.61,
sub-223,1.61,
sub-225,1.61,81.67283950617283
sub-227,1.61,48.12920353982301
sub-228,1.61,
sub-002,1.84,87.3
sub-004,1.84,74.3
sub-005,1.84,13.867326732673268
sub-007,1.84,52.5
sub-008,1.84,54.59040404040404
sub-009,1.84,
sub-010,1.84,
sub-011,1.84,85.5
sub-013,1.84,
sub-014,1.84,57.3
sub-015,1.84,84.7
sub-017,1.84,42.1
sub-018,1.84,52.84285714285714
sub-019,1.84,
sub-020,1.84,
sub-022,1.84,
sub-032,1.84,50.8
sub-034,1.84,
sub-036,1.84,
sub-037,1.84,
sub-038,1.84,49.7
sub-040,1.84,4.1616
sub-041,1.84,99.7
sub-046,1.84,31.7
sub-051,1.84,
sub-052,1.84,55.184499054820414
sub-053,1.84,
sub-057,1.84,
sub-059,1.84,49.5
sub-061,1.84,
sub-067,1.84,
sub-070,1.84,52.7
sub-071,1.84,
sub-073,1.84,1.0
sub-075,1.84,
sub-077,1.84,38.21204819277108
sub-079,1.84,49.8
sub-080,1.84,
sub-081,1.84,
sub-084,1.84,52.91340206185567
sub-087,1.84,44.5722891566265
sub-088,1.84,
sub-090,1.84,7.2
sub-093,1.84,
sub-096,1.84,
sub-098,1.84,
sub-099,1.84,41.59866666666667
sub-101,1.84,
sub-105,1.84,
sub-106,1.84,10.883333333333333
sub-109,1.84,
sub-111,1.84,48.8
