consent.started,consent.stopped,consentResponse.keys,consentResponse.rt,consentResponse.duration,participantID,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,opening1.started,opening1.stopped,keyEndingOpening1.keys,keyEndingOpening1.rt,keyEndingOpening1.duration,volumeAdjust.started,volumeAdjust.stopped,endingAdjust.keys,endingAdjust.rt,endingAdjust.duration,opening2.started,opening2.stopped,keyEndingOpening.keys,keyEndingOpening.rt,keyEndingOpening.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,instructionLoop.ran,readyForAudio.started,readyForAudio.stopped,fixation.started,run,audio_played,fixation.stopped,endPractice.keys,audioPre.started,audioPre.stopped,continuousResponses_audio,intRating.started,intRating.stopped,intQuestionSlider.response,intQuestionSlider.rt,intQuestionSlider.history,confirmResponse.keys,confirmResponse.rt,confirmResponse.duration,catchQuestion.started,catch_label,catch_value,catchQuestion.stopped,catchQuestionSlider.response,catchQuestionSlider.rt,catchQuestionSlider.history,confirmResponse_2.keys,audioRunLoop.thisRepN,audioRunLoop.thisTrialN,audioRunLoop.thisN,audioRunLoop.thisIndex,audioRunLoop.ran,conditions1_1,conditions2_1,conditions1_2,conditions2_2,dur1_1,dur2_1,dur1_2,dur2_2,endPractice.rt,endPractice.duration,confirmResponse_2.rt,confirmResponse_2.duration,runIntervalBreak.started,runIntervalBreak.stopped,endingBreakKey.keys,endingBreakKey.rt,endingBreakKey.duration,connection.started,connection.stopped,connectionEnding.keys,connectionEnding.rt,connectionEnding.duration,readyForText.started,readyForText.stopped,textPre.started,run_dup,textPre.stopped,continuousResponses_text,textRunLoop.thisRepN,textRunLoop.thisTrialN,textRunLoop.thisN,textRunLoop.thisIndex,textRunLoop.ran,text1_1,text1_2,text2_1,text2_2,runBreakText.started,runBreakText.stopped,endingBreakKey_2.keys,ending.started,ending.stopped,endingEnding.keys,endingEnding.rt,endingEnding.duration
0.0002,5.2968,y,4.9709,,6441c37f5666c66e67eba833,2025-07-07_22h40.02.604,group3.4_multiperson,2023.2.2,Win32,59.88023952,686c2ebf0248f13bef9af11f,686c842f79e5f9be58d4e588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6441c37f5666c66e67eba833,2025-07-07_22h40.02.604,group3.4_multiperson,2023.2.2,Win32,59.88023952,686c2ebf0248f13bef9af11f,686c842f79e5f9be58d4e588,5.2969,9.8134,space,4.4976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6441c37f5666c66e67eba833,2025-07-07_22h40.02.604,group3.4_multiperson,2023.2.2,Win32,59.88023952,686c2ebf0248f13bef9af11f,686c842f79e5f9be58d4e588,,,,,,9.8135,67.0628,space,56.9278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6441c37f5666c66e67eba833,2025-07-07_22h40.02.604,group3.4_multiperson,2023.2.2,Win32,59.88023952,686c2ebf0248f13bef9af11f,686c842f79e5f9be58d4e588,,,,,,,,,,,67.0652,73.2126,space,6.1272,,[],[],[],[],[],[],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6441c37f5666c66e67eba833,2025-07-07_22h40.02.604,group3.4_multiperson,2023.2.2,Win32,59.88023952,686c2ebf0248f13bef9af11f,686c842f79e5f9be58d4e588,,,,,,,,,,,73.2129,85.0956,space,11.816,,[],[],[],[],[],[],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6441c37f5666c66e67eba833,2025-07-07_22h40.02.604,group3.4_multiperson,2023.2.2,Win32,59.88023952,686c2ebf0248f13bef9af11f,686c842f79e5f9be58d4e588,,,,,,,,,,,85.0958,98.1955,space,13.0722,,[],[],[],[],[],[],2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6441c37f5666c66e67eba833,2025-07-07_22h40.02.604,group3.4_multiperson,2023.2.2,Win32,59.88023952,686c2ebf0248f13bef9af11f,686c842f79e5f9be58d4e588,,,,,,,,,,,98.1956,104.712,space,6.5027,,[],[],[],[],[],[],3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6441c37f5666c66e67eba833,2025-07-07_22h40.02.604,group3.4_multiperson,2023.2.2,Win32,59.88023952,686c2ebf0248f13bef9af11f,686c842f79e5f9be58d4e588,,,,,,,,,,,104.7122,126.6283,space,21.9007,,[],[],[],[],[],[],4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6441c37f5666c66e67eba833,2025-07-07_22h40.02.604,group3.4_multiperson,2023.2.2,Win32,59.88023952,686c2ebf0248f13bef9af11f,686c842f79e5f9be58d4e588,,,,,,,,,,,126.6285,133.4116,space,6.7693,,[],[],[],[],[],[],5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6441c37f5666c66e67eba833,2025-07-07_22h40.02.604,group3.4_multiperson,2023.2.2,Win32,59.88023952,686c2ebf0248f13bef9af11f,686c842f79e5f9be58d4e588,,,,,,,,,,,,,,,,,,,,,,,,,,,133.4126,135.9949,136.006,1,audio/Narrative13Situation2.wav,138.0116,,138.0117,167.7614,"[[999,0],[999,83],[999,166],[999,249],[999,333],[999,416],[999,499],[999,583],[999,666],[999,749],[999,833],[999,916],[999,999],[999,1083],[999,1166],[999,1249],[999,1333],[999,1416],[999,1499],[999,1582],[999,1666],[43.5,1749],[42.9,1833],[42.9,1916],[42.8,1999],[42,2083],[41.1,2166],[40.7,2249],[40.3,2333],[40.1,2416],[40.2,2499],[45.1,2583],[55.3,2666],[60.7,2749],[63.6,2833],[65.2,2916],[65.8,2999],[66.8,3083],[67.6,3166],[68.3,3249],[69,3333],[69.5,3416],[69.8,3499],[70.3,3582],[70.9,3666],[71.5,3749],[71.7,3833],[71.7,3916],[71.7,3999],[71.7,4083],[71.7,4166],[71.7,4249],[71.7,4332],[71.7,4416],[71.7,4499],[71.7,4582],[71.5,4666],[69.6,4749],[65.4,4833],[61.3,4916],[57.5,4999],[53.3,5083],[49,5166],[45.6,5249],[43.5,5332],[42.9,5416],[42.8,5499],[42.6,5582],[42.2,5666],[42.1,5749],[42.1,5832],[41.9,5916],[41.6,5999],[41.6,6082],[41.4,6166],[40.7,6249],[39.8,6332],[38.9,6416],[37.6,6499],[35.7,6583],[34.6,6666],[34.2,6749],[33.4,6833],[32.6,6916],[32.2,6999],[32,7083],[32,7166],[32,7249],[32,7333],[32,7416],[32,7499],[32,7582],[32,7666],[32,7749],[32.6,7833],[33,7916],[33.2,7999],[33.6,8082],[34.1,8166],[34.5,8249],[34.7,8332],[34.7,8416],[34.7,8499],[34.5,8582],[34.1,8666],[33.3,8749],[32.8,8832],[32.2,8916],[31.4,8999],[30.9,9082],[30.9,9166],[30.8,9249],[30.5,9332],[29.9,9416],[29.4,9499],[29,9582],[28.9,9666],[28.5,9749],[28.3,9832],[28.3,9916],[28.2,9999],[28.2,10082],[28.2,10166],[28.2,10249],[28.2,10332],[28.2,10416],[28.8,10499],[29.5,10582],[30.2,10666],[30.4,10749],[30.7,10832],[31.5,10916],[32.1,10999],[33.6,11082],[38.5,11166],[42.4,11249],[44.7,11332],[48.4,11416],[56,11499],[66.3,11832],[66.4,11916],[66.6,11999],[66.7,12082],[67.6,12166],[71.5,12249],[76.1,12332],[79.4,12416],[81.3,12499],[82.7,12583],[83.8,12666],[84.7,12749],[86.8,12832],[88,12916],[88.8,12999],[88.9,13082],[88.9,13166],[88.9,13249],[88.9,13332],[89,13416],[89,13499],[89,13582],[89,13666],[90,13749],[92.7,13832],[93.8,13916],[94.7,13999],[95.3,14082],[95.6,14166],[95.6,14249],[95.6,14332],[95.6,14416],[95.6,14499],[95.6,14582],[95.6,14666],[95.6,14749],[95.6,14832],[95.5,14916],[95.4,14999],[95.3,15082],[95.3,15166],[95.3,15249],[95.1,15332],[94.8,15416],[94.3,15499],[93.5,15582],[93.2,15666],[93.1,15749],[93,15832],[93,15916],[93,15999],[92.9,16082],[92.9,16166],[92.9,16249],[92.9,16332],[92.8,16416],[92.7,16499],[92.3,16582],[92,16666],[91.8,16749],[91.6,16832],[91.4,16916],[91.3,16999],[91.1,17082],[91.1,17166],[91.1,17249],[91.1,17332],[91,17416],[91,17499],[91,17582],[91,17666],[91,17749],[91,17832],[91,17916],[91,17999],[91,18082],[90.8,18166],[90.4,18249],[90.1,18332],[89.8,18416],[89.6,18499],[89.5,18583],[89.5,18666],[89.5,18749],[89.4,18832],[89.4,18916],[89.4,18999],[89.4,19082],[89.4,19166],[89.4,19249],[89.6,19332],[89.7,19415],[90,19499],[90.1,19582],[90.2,19666],[90.1,19749],[88.5,19832],[86.6,19916],[86,19999],[85.8,20082],[85.6,20166],[85.5,20249],[85.3,20332],[85,20416],[85,20499],[84.9,20582],[84.9,20666],[84.9,20749],[84.9,20832],[86,20916],[86.8,20999],[87.3,21082],[87.4,21166],[87.5,21249],[87.5,21332],[87.5,21416],[87.5,21499],[87.5,21582],[87.5,21666],[87.5,21749],[87.6,21832],[87.6,21916],[87.5,21999],[85.9,22082],[85.9,22166],[85.9,22249],[85.9,22332],[85.8,22416],[85.9,22499],[100,22916],[100,22999],[100,23082],[100,23166],[99.7,23249],[98.1,23332],[96,23416],[94.9,23499],[94.3,23582],[93.2,23666],[92.2,23749],[91.7,23832],[91.6,23915],[91.5,23999],[91.4,24082],[90.9,24166],[90.1,24249],[89.1,24332],[87.9,24416],[87.5,24499],[87.4,24582],[87.1,24666],[87,24749],[87,24832],[90.1,24916],[93.8,24999],[94.8,25082],[94.8,25166],[94.8,25249],[94.8,25332],[94.8,25415],[94.8,25499],[94.8,25582],[94.8,25666],[94.8,25749],[94.8,25832],[94.8,25915],[94.8,25999],[94.8,26082],[94.8,26165],[94.7,26249],[94.5,26332],[94.4,26415],[94.3,26499],[94.1,26582],[94,26666],[94,26749],[94,26832],[93.9,26916],[93.9,26999],[93.9,27082],[93.8,27165],[93.8,27249],[93.8,27332],[93.8,27415],[93.8,27499],[93.6,27582],[93.6,27665],[93.5,27749],[93.5,27832],[93.5,27915],[93.5,27999],[93.5,28082],[93.5,28165],[93.5,28249],[93.5,28332],[93.5,28415],[93.5,28499],[93.5,28582],[93.5,28665],[93.5,28749],[93.4,28832],[93.4,28915],[93.3,28999],[93.1,29082],[93,29165],[92.8,29249],[92.7,29332],[92.6,29415],[92.5,29499],[92.4,29582],[92.4,29665],[92.4,29749]]",167.7615,174.0611,93.22916667,3.7425,"[{""rating"":93.22916666666667,""responseTime"":3.7424999999999784}]",space,5.7581,,174.0612,Partially,50,174.0631,,,[],,0,0,0,0,1,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
