consent.started,consent.stopped,consentResponse.keys,consentResponse.rt,consentResponse.duration,participantID,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,opening1.started,opening1.stopped,keyEndingOpening1.keys,keyEndingOpening1.rt,keyEndingOpening1.duration,volumeAdjust.started,volumeAdjust.stopped,endingAdjust.keys,endingAdjust.rt,endingAdjust.duration,opening2.started,opening2.stopped,keyEndingOpening.keys,keyEndingOpening.rt,keyEndingOpening.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,instructionLoop.ran,readyForAudio.started,readyForAudio.stopped,fixation.started,run,audio_played,fixation.stopped,endPractice.keys,audioPre.started,audioPre.stopped,continuousResponses_audio,intRating.started,intRating.stopped,intQuestionSlider.response,intQuestionSlider.rt,intQuestionSlider.history,confirmResponse.keys,confirmResponse.rt,confirmResponse.duration,catchQuestion.started,catch_label,catch_value,catchQuestion.stopped,catchQuestionSlider.response,catchQuestionSlider.rt,catchQuestionSlider.history,confirmResponse_2.keys,audioRunLoop.thisRepN,audioRunLoop.thisTrialN,audioRunLoop.thisN,audioRunLoop.thisIndex,audioRunLoop.ran,conditions1_1,conditions2_1,conditions1_2,conditions2_2,dur1_1,dur2_1,dur1_2,dur2_2,endPractice.rt,endPractice.duration,confirmResponse_2.rt,confirmResponse_2.duration,runIntervalBreak.started,runIntervalBreak.stopped,endingBreakKey.keys,connection.started,connection.stopped,connectionEnding.keys,connectionEnding.rt,connectionEnding.duration,readyForText.started,readyForText.stopped,textPre.started,run_dup,textPre.stopped,continuousResponses_text,textRunLoop.thisRepN,textRunLoop.thisTrialN,textRunLoop.thisN,textRunLoop.thisIndex,textRunLoop.ran,text1_1,text1_2,text2_1,text2_2,runBreakText.started,runBreakText.stopped,endingBreakKey_2.keys,ending.started,ending.stopped,endingEnding.keys,endingEnding.rt,endingEnding.duration
0,11.564,y,11.245,,67fdb95863b421ac7768f5d5,2025-07-07_22h01.36.293,group3.4_multiperson,2023.2.2,Win32,60.0240096,686c2ebf0248f13bef9af11f,686c7b405a43ea2a9c86316f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67fdb95863b421ac7768f5d5,2025-07-07_22h01.36.293,group3.4_multiperson,2023.2.2,Win32,60.0240096,686c2ebf0248f13bef9af11f,686c7b405a43ea2a9c86316f,11.565,19.224,space,7.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67fdb95863b421ac7768f5d5,2025-07-07_22h01.36.293,group3.4_multiperson,2023.2.2,Win32,60.0240096,686c2ebf0248f13bef9af11f,686c7b405a43ea2a9c86316f,,,,,,19.224,77.759,space,58.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67fdb95863b421ac7768f5d5,2025-07-07_22h01.36.293,group3.4_multiperson,2023.2.2,Win32,60.0240096,686c2ebf0248f13bef9af11f,686c7b405a43ea2a9c86316f,,,,,,,,,,,77.77,264.987,space,187.171,,[],[],[],[],[],[],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67fdb95863b421ac7768f5d5,2025-07-07_22h01.36.293,group3.4_multiperson,2023.2.2,Win32,60.0240096,686c2ebf0248f13bef9af11f,686c7b405a43ea2a9c86316f,,,,,,,,,,,264.993,304.536,space,39.397,,[],[],[],[],[],[],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67fdb95863b421ac7768f5d5,2025-07-07_22h01.36.293,group3.4_multiperson,2023.2.2,Win32,60.0240096,686c2ebf0248f13bef9af11f,686c7b405a43ea2a9c86316f,,,,,,,,,,,304.541,321.853,space,17.237,,[],[],[],[],[],[],2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67fdb95863b421ac7768f5d5,2025-07-07_22h01.36.293,group3.4_multiperson,2023.2.2,Win32,60.0240096,686c2ebf0248f13bef9af11f,686c7b405a43ea2a9c86316f,,,,,,,,,,,321.858,390.19,space,68.272,,[],[],[],[],[],[],3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67fdb95863b421ac7768f5d5,2025-07-07_22h01.36.293,group3.4_multiperson,2023.2.2,Win32,60.0240096,686c2ebf0248f13bef9af11f,686c7b405a43ea2a9c86316f,,,,,,,,,,,390.195,413.377,space,23.133,,[],[],[],[],[],[],4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67fdb95863b421ac7768f5d5,2025-07-07_22h01.36.293,group3.4_multiperson,2023.2.2,Win32,60.0240096,686c2ebf0248f13bef9af11f,686c7b405a43ea2a9c86316f,,,,,,,,,,,413.38,427.924,space,14.49,,[],[],[],[],[],[],5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67fdb95863b421ac7768f5d5,2025-07-07_22h01.36.293,group3.4_multiperson,2023.2.2,Win32,60.0240096,686c2ebf0248f13bef9af11f,686c7b405a43ea2a9c86316f,,,,,,,,,,,,,,,,,,,,,,,,,,,427.93,430.508,430.544,1,audio/Narrative13Situation2.wav,432.557,,432.557,462.309,"[[999,0],[999,133],[999,216],[999,299],[999,382],[999,466],[999,549],[999,632],[999,716],[999,800],[999,883],[999,965],[999,1049],[999,1132],[999,1216],[999,1299],[999,1382],[999,1465],[999,1549],[999,1632],[999,1716],[999,1799],[999,1883],[999,1966],[999,2049],[999,2133],[999,2216],[999,2299],[999,2383],[999,2466],[999,2550],[999,2632],[999,2716],[999,2799],[999,2882],[999,2966],[999,3049],[999,3133],[999,3216],[999,3299],[999,3382],[999,3466],[999,3550],[999,3633],[999,3716],[999,3799],[999,3883],[999,3966],[999,4049],[999,4133],[999,4216],[999,4299],[999,4383],[999,4466],[999,4550],[999,4632],[999,4716],[999,4800],[999,4883],[999,4966],[999,5050],[999,5133],[999,5216],[999,5299],[999,5382],[999,5466],[999,5550],[999,5635],[999,5716],[999,5799],[999,5883],[999,5966],[999,6049],[999,6133],[999,6216],[12.6,6300],[8.1,6383],[5.2,6467],[4,6550],[3,6633],[2.3,6715],[1.8,6800],[1.8,6884],[4.8,6966],[23.2,7050],[32.4,7134],[39.5,7217],[50.4,7300],[56.8,7383],[59.2,7466],[62.6,7550],[66.4,7633],[67.7,7716],[68,7799],[68,7883],[68,7966],[68,8049],[68,8133],[69.3,8216],[73.3,8299],[79.3,8383],[90.2,8466],[94.1,8550],[96.6,8633],[97,8716],[97.4,8800],[98.4,8883],[99,8967],[99,9050],[99,9133],[99,9217],[99,9299],[99,9383],[99,9466],[99,9549],[99,9633],[99,9716],[99,9799],[99,9883],[99,9966],[99,10050],[99,10133],[99,10217],[99,10300],[99,10383],[99,10466],[99,10550],[99,10633],[99,10716],[99,10800],[99,10883],[99,10966],[99,11050],[99,11133],[99,11216],[99,11300],[99,11383],[99,11466],[99,11549],[99,11633],[99,11716],[99,11799],[99,11883],[99,11966],[99,12049],[99,12133],[99,12217],[99,12300],[99,12383],[99,12466],[99,12550],[99,12633],[99,12716],[99,12800],[99,12884],[99,12967],[99,13050],[99,13133],[99,13217],[99,13299],[99,13383],[99,13467],[99,13550],[99,13633],[99,13716],[99,13800],[99,13883],[99,13966],[99,14049],[99,14133],[99,14217],[99,14300],[99,14383],[99,14467],[99,14550],[99,14633],[99,14717],[99,14799],[99,14883],[99,14966],[99,15050],[99,15133],[99,15216],[99,15300],[99,15383],[99,15467],[99,15550],[99,15633],[99,15717],[99,15800],[99,15883],[99,15967],[99,16050],[99,16133],[99,16216],[99,16299],[99,16383],[99,16466],[99,16549],[99,16633],[99,16717],[99,16800],[99,16884],[99,16967],[99,17050],[99,17133],[99,17217],[99,17299],[99,17383],[99,17466],[99,17550],[99,17634],[99,17717],[99,17800],[99,17883],[99,17966],[99,18050],[99,18133],[99,18217],[99,18301],[99.6,18384],[99.9,18467],[100,18551]]",462.309,480.16,98.046875,14.907,"[{""rating"":83.72395833333333,""responseTime"":11.555000000000007},{""rating"":98.046875,""responseTime"":14.907000000000039}]",space,17.319,,480.161,Partially,50,480.179,,,[],,0,0,0,0,1,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
