EP_Subject: 27
EP_session: 1
empathy_Subject: 027
Experimenter: ll
Subject	TrialNum	Stimulusbl	Stimulusbias	CursorTime	CursorRating
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	52461	49.6124031007752
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	52561	48.8372093023256
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	52661	48.062015503876
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	52761	36.8217054263566
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	52861	29.8449612403101
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	52961	20.1550387596899
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	53061	17.4418604651163
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	53161	17.4418604651163
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	53261	17.4418604651163
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	53361	17.4418604651163
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	53461	17.8294573643411
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	53561	18.6046511627907
027	1	Stimuli\Videoclips\ll042t1aaaff_H	null	53661	18.6046511627907
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	65233	50
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	65333	50
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	65433	49.2248062015504
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	65534	45.7364341085271
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	65633	31.7829457364341
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	65733	18.6046511627907
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	65833	10.077519379845
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	65933	9.30232558139535
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	66034	8.91472868217054
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	66133	8.91472868217054
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	66233	8.91472868217054
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	66333	6.97674418604651
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	66433	5.81395348837209
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	66534	5.81395348837209
027	2	Stimuli\Videoclips\ll042t1aaaff_M	null	66633	5.81395348837209
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	78219	50
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	78319	50
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	78420	50
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	78519	50
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	78619	31.7829457364341
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	78719	21.7054263565891
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	78819	21.7054263565891
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	78920	8.52713178294574
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	79019	8.13953488372093
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	79119	8.52713178294574
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	79219	11.2403100775194
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	79319	11.6279069767442
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	79420	12.015503875969
027	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	79519	12.015503875969
