EP_Subject: 34
EP_session: 1
empathy_Subject: 034
Experimenter: LL
Subject	TrialNum	Stimulusbl	Stimulusbias	CursorTime	CursorRating
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	45455	50
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	45555	50
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	45655	50
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	45755	50
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	45855	50
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	45955	50
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	46055	50
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	46155	50
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	46255	0
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	46355	0
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	46455	0
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	46555	5.03875968992248
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	46655	10.077519379845
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	46755	10.077519379845
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	46855	10.077519379845
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	46955	10.077519379845
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	47055	10.077519379845
034	1	Stimuli\Videoclips\ll042t1aaaff_H	null	47155	8.91472868217054
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	58801	50
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	58901	50
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	59001	50
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	59101	50
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	59201	25.5813953488372
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	59301	0
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	59401	0
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	59501	1.16279069767442
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	59601	2.71317829457364
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	59701	3.48837209302326
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	59801	4.26356589147287
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	59901	4.65116279069767
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	60001	4.65116279069767
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	60101	4.65116279069767
034	2	Stimuli\Videoclips\ll042t1aaaff_M	null	60201	5.42635658914729
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	71867	50
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	71967	50
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	72067	50
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	72167	50
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	72267	27.5193798449612
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	72367	12.015503875969
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	72467	6.58914728682171
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	72567	5.81395348837209
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	72667	5.81395348837209
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	72767	5.42635658914729
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	72867	4.65116279069767
034	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	72967	4.26356589147287
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	84560	50
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	84660	50
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	84760	50
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	84860	50
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	84960	45.7364341085271
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	85060	34.1085271317829
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	85160	25.5813953488372
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	85260	23.2558139534884
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	85360	15.8914728682171
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	85460	15.1162790697674
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	85560	14.7286821705426
034	4	Stimuli\Videoclips\bn080t1aaaff_M	null	85660	14.7286821705426
034	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	97292	50
034	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	97392	50
034	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	97492	50
034	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	97592	48.062015503876
034	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	97692	34.1085271317829
034	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	97792	32.1705426356589
034	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	97892	29.8449612403101
034	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	97992	29.8449612403101
034	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	98092	29.8449612403101
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	109679	50
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	109779	50
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	109879	50
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	109979	49.2248062015504
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	110079	0
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	110179	0
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	110279	0
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	110379	0
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	110479	0
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	110579	1.93798449612403
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	110679	1.93798449612403
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	110779	1.93798449612403
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	110879	0
034	6	Stimuli\Videoclips\bn080t1afunaff_L	null	110979	0
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	122585	50
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	122685	50
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	122785	50
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	122885	49.6124031007752
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	122985	29.0697674418605
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	123085	16.6666666666667
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	123185	13.953488372093
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	123285	14.7286821705426
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	123385	19.7674418604651
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	123485	26.7441860465116
