EP_Subject: 33
EP_session: 1
empathy_Subject: 033
Experimenter: ll
Subject	TrialNum	Stimulusbl	Stimulusbias	CursorTime	CursorRating
033	1	Stimuli\Videoclips\ll042t1aaaff_H	null	51088	50
033	1	Stimuli\Videoclips\ll042t1aaaff_H	null	51188	50
033	1	Stimuli\Videoclips\ll042t1aaaff_H	null	51288	50
033	1	Stimuli\Videoclips\ll042t1aaaff_H	null	51388	41.4728682170543
033	1	Stimuli\Videoclips\ll042t1aaaff_H	null	51488	26.7441860465116
033	1	Stimuli\Videoclips\ll042t1aaaff_H	null	51588	20.9302325581395
033	1	Stimuli\Videoclips\ll042t1aaaff_H	null	51688	19.7674418604651
033	1	Stimuli\Videoclips\ll042t1aaaff_H	null	51788	19.7674418604651
033	1	Stimuli\Videoclips\ll042t1aaaff_H	null	51888	19.7674418604651
033	2	Stimuli\Videoclips\ll042t1aaaff_M	null	63514	50
033	2	Stimuli\Videoclips\ll042t1aaaff_M	null	63614	50
033	2	Stimuli\Videoclips\ll042t1aaaff_M	null	63714	49.6124031007752
033	2	Stimuli\Videoclips\ll042t1aaaff_M	null	63814	15.8914728682171
033	2	Stimuli\Videoclips\ll042t1aaaff_M	null	63914	0
033	2	Stimuli\Videoclips\ll042t1aaaff_M	null	64014	0
033	2	Stimuli\Videoclips\ll042t1aaaff_M	null	64114	0
033	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	75780	50
033	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	75880	50
033	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	75980	50
033	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	76080	0
033	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	76180	0
033	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	76280	0
033	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	76380	0
033	3	Stimuli\Videoclips\ll042t1aeunaff_L	null	76480	0
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	88046	48.062015503876
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	88146	46.5116279069767
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	88246	44.9612403100775
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	88346	38.7596899224806
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	88446	15.1162790697674
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	88546	11.6279069767442
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	88646	9.30232558139535
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	88746	8.13953488372093
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	88846	6.58914728682171
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	88946	5.42635658914729
033	4	Stimuli\Videoclips\bn080t1aaaff_M	null	89046	5.42635658914729
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	100686	50
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	100786	50
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	100886	49.6124031007752
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	100986	32.1705426356589
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	101086	14.7286821705426
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	101186	14.7286821705426
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	101286	24.031007751938
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	101386	29.4573643410853
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	101486	31.3953488372093
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	101586	32.5581395348837
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	101686	33.3333333333333
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	101786	33.7209302325581
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	101886	35.6589147286822
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	101986	36.046511627907
033	5	Stimuli\Videoclips\bn080t1aeunaff_H	null	102086	36.046511627907
033	6	Stimuli\Videoclips\bn080t1afunaff_L	null	113699	49.6124031007752
033	6	Stimuli\Videoclips\bn080t1afunaff_L	null	113799	49.2248062015504
033	6	Stimuli\Videoclips\bn080t1afunaff_L	null	113899	45.3488372093023
033	6	Stimuli\Videoclips\bn080t1afunaff_L	null	113999	10.077519379845
033	6	Stimuli\Videoclips\bn080t1afunaff_L	null	114099	0
033	6	Stimuli\Videoclips\bn080t1afunaff_L	null	114199	0
033	6	Stimuli\Videoclips\bn080t1afunaff_L	null	114299	0
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	125818	50
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	125918	49.6124031007752
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	126018	47.2868217054264
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	126118	13.1782945736434
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	126218	1.16279069767442
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	126318	0
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	126418	0
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	126518	0
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	126618	0.775193798449612
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	126718	1.93798449612403
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	126818	2.71317829457364
033	7	Stimuli\Videoclips\mn106t1aaaff_M	null	126918	2.71317829457364
033	8	Stimuli\Videoclips\mn106t1aeaff_L	null	138458	50
033	8	Stimuli\Videoclips\mn106t1aeaff_L	null	138558	50
033	8	Stimuli\Videoclips\mn106t1aeaff_L	null	138658	39.922480620155
033	8	Stimuli\Videoclips\mn106t1aeaff_L	null	138758	0
033	8	Stimuli\Videoclips\mn106t1aeaff_L	null	138858	0
033	8	Stimuli\Videoclips\mn106t1aeaff_L	null	138958	0
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	150590	50
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	150690	50
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	150790	50
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	150890	46.5116279069767
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	150990	30.2325581395349
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	151090	28.2945736434109
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	151190	28.2945736434109
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	151290	25.1937984496124
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	151390	23.6434108527132
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	151490	22.4806201550388
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	151590	22.4806201550388
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	151690	21.3178294573643
033	9	Stimuli\Videoclips\mn106t1afaff_H1	null	151790	21.3178294573643
033	10	Stimuli\Videoclips\hs107t1afaff_H	null	163377	50
033	10	Stimuli\Videoclips\hs107t1afaff_H	null	163477	50
033	10	Stimuli\Videoclips\hs107t1afaff_H	null	163577	50
033	10	Stimuli\Videoclips\hs107t1afaff_H	null	163677	45.7364341085271
033	10	Stimuli\Videoclips\hs107t1afaff_H	null	163777	33.7209302325581
033	10	Stimuli\Videoclips\hs107t1afaff_H	null	163877	33.7209302325581
033	10	Stimuli\Videoclips\hs107t1afaff_H	null	163977	33.7209302325581
033	10	Stimuli\Videoclips\hs107t1afaff_H	null	164077	33.7209302325581
033	11	Stimuli\Videoclips\hs107t1afunaff_M	null	175683	50
033	11	Stimuli\Videoclips\hs107t1afunaff_M	null	175783	50
033	11	Stimuli\Videoclips\hs107t1afunaff_M	null	175883	50
033	11	Stimuli\Videoclips\hs107t1afunaff_M	null	175983	41.4728682170543
033	11	Stimuli\Videoclips\hs107t1afunaff_M	null	176083	9.68992248062016
033	11	Stimuli\Videoclips\hs107t1afunaff_M	null	176183	7.75193798449612
033	11	Stimuli\Videoclips\hs107t1afunaff_M	null	176283	5.81395348837209
033	11	Stimuli\Videoclips\hs107t1afunaff_M	null	176383	5.81395348837209
033	11	Stimuli\Videoclips\hs107t1afunaff_M	null	176483	5.81395348837209
033	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	188136	48.4496124031008
033	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	188236	44.5736434108527
