exp_question,consent.started,consent.stopped,consentResponse.keys,consentResponse.rt,consentResponse.duration,participantID,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,opening1.started,opening1.stopped,keyEndingOpening1.keys,keyEndingOpening1.rt,keyEndingOpening1.duration,volumeAdjust.started,volumeAdjust.stopped,endingAdjust.keys,endingAdjust.rt,endingAdjust.duration,opening2.started,opening2.stopped,keyEndingOpening.keys,keyEndingOpening.rt,keyEndingOpening.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,instructionLoop.ran,readyForAudio.started,readyForAudio.stopped,fixation.started,run,audio_played,fixation.stopped,endPractice.keys,audioPre.started,audioPre.stopped,continuousResponses_audio,continuousSlider.response,continuousSlider.rt,intRating.started,intRating.stopped,intQuestionSlider.response,intQuestionSlider.rt,intQuestionSlider.history,confirmResponse.keys,confirmResponse.rt,confirmResponse.duration,catchQuestion.started,catch_label,catch_value,catchQuestion.stopped,catchQuestionSlider.response,catchQuestionSlider.rt,catchQuestionSlider.history,confirmResponse_2.keys,audioRunLoop.thisRepN,audioRunLoop.thisTrialN,audioRunLoop.thisN,audioRunLoop.thisIndex,audioRunLoop.ran,conditions1_1,conditions2_1,conditions1_2,conditions2_2,dur1_1,dur2_1,dur1_2,dur2_2,endPractice.rt,endPractice.duration,confirmResponse_2.rt,confirmResponse_2.duration,runIntervalBreak.started,runIntervalBreak.stopped,endingBreakKey.keys,connection.started,connection.stopped,connectionEnding.keys,connectionEnding.rt,connectionEnding.duration,readyForText.started,readyForText.stopped,textPre.started,run_dup,textPre.stopped,continuousResponses_text,textRunLoop.thisRepN,textRunLoop.thisTrialN,textRunLoop.thisN,textRunLoop.thisIndex,textRunLoop.ran,text1_1,text1_2,text2_1,text2_2,runBreakText.started,runBreakText.stopped,endingBreakKey_2.keys,endingBreakKey_2.rt,endingBreakKey_2.duration,ending.started,ending.stopped,endingEnding.keys,endingEnding.rt,endingEnding.duration
social,0.0004,3.4833,y,3.1355,,60ef2700e476748689a999f7,2024-05-13_12h16.16.698,group3.1-3.2-social-tom,2023.2.2,Win32,30.03003003,65c5074098b851296ff0b7ed,6642375689b0d4b858742e43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60ef2700e476748689a999f7,2024-05-13_12h16.16.698,group3.1-3.2-social-tom,2023.2.2,Win32,30.03003003,65c5074098b851296ff0b7ed,6642375689b0d4b858742e43,3.4836,8.0462,space,4.5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60ef2700e476748689a999f7,2024-05-13_12h16.16.698,group3.1-3.2-social-tom,2023.2.2,Win32,30.03003003,65c5074098b851296ff0b7ed,6642375689b0d4b858742e43,,,,,,8.0463,18.1042,space,9.6917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60ef2700e476748689a999f7,2024-05-13_12h16.16.698,group3.1-3.2-social-tom,2023.2.2,Win32,30.03003003,65c5074098b851296ff0b7ed,6642375689b0d4b858742e43,,,,,,,,,,,18.1196,26.8963,space,8.7548,,[],[],[],[],[],[],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60ef2700e476748689a999f7,2024-05-13_12h16.16.698,group3.1-3.2-social-tom,2023.2.2,Win32,30.03003003,65c5074098b851296ff0b7ed,6642375689b0d4b858742e43,,,,,,,,,,,26.9064,33.4568,space,6.4492,,[],[],[],[],[],[],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60ef2700e476748689a999f7,2024-05-13_12h16.16.698,group3.1-3.2-social-tom,2023.2.2,Win32,30.03003003,65c5074098b851296ff0b7ed,6642375689b0d4b858742e43,,,,,,,,,,,33.4679,42.6489,space,9.1193,,[],[],[],[],[],[],2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60ef2700e476748689a999f7,2024-05-13_12h16.16.698,group3.1-3.2-social-tom,2023.2.2,Win32,30.03003003,65c5074098b851296ff0b7ed,6642375689b0d4b858742e43,,,,,,,,,,,42.6604,54.4727,space,11.7918,,[],[],[],[],[],[],3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60ef2700e476748689a999f7,2024-05-13_12h16.16.698,group3.1-3.2-social-tom,2023.2.2,Win32,30.03003003,65c5074098b851296ff0b7ed,6642375689b0d4b858742e43,,,,,,,,,,,54.4838,56.8365,space,2.3275,,[],[],[],[],[],[],4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60ef2700e476748689a999f7,2024-05-13_12h16.16.698,group3.1-3.2-social-tom,2023.2.2,Win32,30.03003003,65c5074098b851296ff0b7ed,6642375689b0d4b858742e43,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8417,59.4007,59.424,1,audio/Narrative13Situation2.wav,61.4327,,61.4329,91.2406,"[[999,1],[999,66],[999,132],[999,199],[999,265],[999,332],[999,398],[999,465],[999,532],[999,598],[999,665],[999,732],[999,798],[999,865],[999,931],[999,998],[999,1065],[999,1131],[999,1198],[999,1264],[999,1331],[999,1398],[999,1464],[999,1531],[999,1597],[999,1664],[999,1731],[999,1797],[999,1864],[999,1931],[999,1998],[999,2064],[999,2132],[999,2197],[999,2264],[999,2330],[999,2397],[999,2464],[999,2530],[999,2597],[999,2663],[999,2730],[999,2796],[999,2863],[999,2930],[999,2996],[999,3063],[999,3129],[999,3196],[999,3263],[999,3330],[999,3396],[999,3463],[999,3529],[999,3596],[999,3663],[999,3729],[999,3796],[999,3862],[999,3929],[999,3996],[999,4062],[999,4129],[999,4196],[999,4262],[999,4328],[50.8,4395],[50.3,4462],[50.1,4528],[50.1,4595],[50.1,4661],[50,4729],[50,4795],[50,4862],[50.1,4928],[50.1,4994],[50.1,5061],[50.1,5128],[50.1,5195],[50.1,5261],[50.1,5327],[50.1,5394],[50.1,5461],[51.1,5527],[55.3,5594],[57.6,5661],[59.4,5727],[61.3,5794],[63.2,5861],[64.7,5927],[65.6,5994],[66.6,6061],[68.1,6127],[69.1,6194],[70.4,6260],[73.3,6327],[75.1,6394],[75.8,6460],[76.3,6527],[76.9,6593],[79,6660],[80.9,6727],[81.6,6793],[81.6,6860],[81.7,6926],[11.6,7459],[13,7526],[15,7592],[16.3,7659],[17.8,7726],[19.1,7793],[20.8,7859],[21.5,7925],[21.9,7992],[22.8,8059],[33.3,8125],[35.6,8192],[35.9,8259],[35.7,8325],[35.6,8392],[83.2,8925],[83.3,8991],[83.4,9058],[83.8,9125],[84,9191],[84.4,9258],[84.9,9324],[85.6,9391],[86.6,9457],[86.9,9524],[87.1,9591],[87.1,9657],[87.2,9724],[87.2,9790],[87.2,9857],[87.2,9923],[87.2,9990],[87.2,10057],[87.2,10123],[87.2,10190],[87.2,10256],[87.2,10323],[87.2,10390],[87.2,10456],[87.2,10523],[87.2,10590],[87.2,10656],[87.2,10723],[87.2,10789],[87.2,10856],[87.2,10923],[87.2,10989],[87.2,11056],[87.2,11122],[87.2,11189],[87.2,11256],[87.7,11323],[88.3,11389],[88.5,11456],[88.6,11523],[88.8,11589],[88.8,11655],[88.8,11722],[88.8,11789],[88.8,11855],[88.8,11922],[88.8,11989],[88.8,12055],[88.8,12121],[89.1,12188],[90.7,12255],[92.2,12322],[93.4,12389],[95.4,12455],[97.7,12522],[99.5,12588],[100,12655],[100,12721],[100,12788],[100,12854],[100,12921],[100,12987],[100,13054],[100,13121],[100,13188],[100,13254],[100,13321],[100,13388],[100,13454],[100,13520],[100,13587],[100,13653],[100,13720],[100,13787],[100,13854],[100,13920],[100,13987],[100,14053],[100,14120],[100,14186],[100,14253],[100,14320],[100,14387],[100,14453],[100,14519],[100,14586],[100,14653],[100,14720],[100,14786],[100,14853],[100,14919],[100,14986],[100,15052],[100,15119],[100,15186],[100,15252],[100,15319],[100,15385],[100,15452],[100,15519],[100,15585],[100,15652],[99.9,15719],[99.9,15785],[99.9,15852],[99.9,15918],[99.9,15985],[99.9,16051],[99.9,16118],[99.9,16185],[99.9,16251],[99.9,16318],[99.9,16385],[99.9,16451],[99.9,16518],[99.9,16584],[99.9,16651],[99.9,16717],[99.9,16784],[99.9,16851],[99.9,16918],[99.9,16984],[99.9,17051],[99.9,17117],[99.9,17184],[99.9,17250],[99.9,17317],[99.9,17384],[99.9,17450],[99.9,17517],[99.8,17584],[99.2,17650],[96.7,17717],[89.4,17784],[86.1,17850],[77.4,17917],[37.9,18783],[37.5,18850],[37,18916],[36.1,18983],[35.5,19049],[35.1,19116],[32.6,19183],[29.4,19249],[27,19315],[26.1,19382],[25.4,19449],[23.9,19515],[21.9,19582],[20,19649],[17.1,19715],[15.2,19782],[13.4,19849],[11.9,19915],[10.3,19982],[10.1,20048],[10.1,20115],[10.1,20181],[10.1,20248],[10.1,20314],[10.1,20381],[10.1,20448],[8.6,20514],[3.8,20581],[1.8,20648],[0.7,20715],[0.5,20781],[1.3,20848],[2.2,20914],[2.5,20981],[2.6,21047],[2.6,21114],[2.4,21181],[1.6,21247],[1,21315],[1,21380],[0.8,21447],[0.7,21514],[0.7,21580],[0.7,21647],[0.7,21713],[0.7,21780],[0.7,21846],[0.7,21913],[1.6,21980],[1.9,22047],[1.9,22113],[1.9,22180],[2.2,22246],[4.5,22313],[27.8,22380],[44.8,22446],[46.3,22513],[48.5,22579],[58.3,23045],[62.5,23112],[64.6,23179],[65.3,23245],[66.4,23312],[69.3,23379],[72,23445],[73.1,23512],[73.6,23578],[73.8,23645],[73.8,23711],[73.8,23778],[73.8,23845],[74.1,23912],[75.9,23978],[80.8,24045],[84.1,24111],[85.3,24178],[86.1,24245],[86.5,24311],[87.2,24378],[89,24445],[90.6,24511],[91.9,24577],[93,24644],[93.6,24711],[93.6,24777],[93.2,24844],[92.4,24911],[87,24978],[85.1,25044],[83.8,25111],[55.5,25177],[50.7,25244],[48.8,25310],[47.9,25377],[47,25444],[46.4,25510],[44.4,25577],[40.8,25644],[35.6,25710],[27.9,25777],[24.2,25843],[23.2,25910],[22.4,25976],[22,26043],[21.4,26110],[18.3,26176],[15.8,26243],[14.8,26309],[13.9,26377],[12.9,26443],[11.7,26509],[10.4,26576],[8.5,26643],[7.2,26709],[5.5,26776],[4.3,26842],[3.3,26909],[2.7,26976],[2.3,27042],[2.3,27109],[2,27176],[2,27241],[2,27308],[2,27375],[2,27442],[2,27508],[2,27575],[2,27642],[2,27708],[2,27774],[2,27841],[2,27908],[2,27974],[2,28041],[2,28108],[2,28174],[2,28241],[2,28308],[2,28374],[2,28441],[2,28507],[2,28574],[2,28640],[2,28707],[2,28774],[2,28840],[2,28907],[2,28974],[2,29040],[2,29107],[2,29173],[2,29240],[2,29307],[2,29373],[2,29440],[2,29506],[2,29573],[2,29640],[2,29706],[2,29773]]",1,0,91.2411,104.2961,8.229169846,10.3168,"[{""rating"":79.375,""responseTime"":6.443199999987996},{""rating"":8.229169845581053,""responseTime"":10.316800000011881}]",space,12.478,,104.2966,Not at all,0,104.3052,,,[],,0,0,0,0,1,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60ef2700e476748689a999f7,2024-05-13_12h16.16.698,group3.1-3.2-social-tom,2023.2.2,Win32,30.03003003,65c5074098b851296ff0b7ed,6642375689b0d4b858742e43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3057,1,audio/Narrative8Situation1.wav,106.7262,space,106.7263,122.7129,"[[8.8,1931],[9.6,1998],[11.5,2065],[18.8,2131],[32.2,2198],[39.2,2264],[40.8,2331],[43.9,2397],[57.7,2464],[70,2531],[70.5,2597],[70.5,2663],[70.5,2730],[70.4,2797],[70.5,2864],[74.9,2930],[79.7,2997],[80.8,3063],[82.2,3130],[83.3,3197],[84.7,3263],[85.2,3330],[85.3,3396],[85.3,3463],[85.3,3529],[85.3,3596],[85.3,3663],[85.3,3729],[68.3,3796],[58.4,3863],[52.1,3930],[49.9,3996],[49.2,4062],[47.5,4129],[46.8,4196],[47.1,4262],[59.7,4329],[70.7,4396],[72.7,4462],[73,4529],[73.4,4595],[74,4663],[74,4728],[74,4795],[74,4862],[74,4928],[74,4995],[80.4,5062],[81.5,5128],[81.5,5195],[81.5,5261],[81.5,5328],[81.5,5394],[81.5,5461],[81.6,5528],[81.6,5594],[81.6,5661],[81.6,5728],[81.6,5794],[81.6,5861],[81.6,5927],[81.6,5994],[81.6,6061],[81.6,6127],[81.6,6194],[81.6,6261],[81.6,6327],[75.7,6394],[75.2,6460],[73.9,6528],[65.4,6594],[59,6661],[58.3,6727],[56.6,6793],[55.7,6860],[55.4,6927],[55.4,6993],[55.1,7060],[54.6,7127],[54.2,7193],[54.2,7260],[54.2,7326],[54.2,7393],[54.2,7459],[54.2,7526],[54.2,7593],[54.2,7659],[54,7726],[54,7792],[53.6,7859],[53.1,7926],[52.9,7993],[52.9,8059],[52.1,8126],[51.7,8192],[51.1,8259],[50.4,8326],[49.2,8392],[48.2,8459],[48,8526],[48,8592],[48,8658],[48,8725],[48,8791],[48,8858],[48.1,8925],[48.1,8991],[46.7,9058],[43.6,9125],[43.2,9191],[43.2,9258],[43.2,9324],[43.8,9391],[47.2,9458],[50.7,9524],[57.2,9591],[63.9,9658],[70.3,9724],[74.1,9791],[83.1,9858],[88.8,9924],[90.5,9991],[91.8,10057],[92.2,10124],[92.5,10191],[92.5,10257],[92.5,10324],[93.1,10390],[94.2,10457],[95,10524],[95.6,10590],[96.7,10657],[97.1,10723],[97.1,10790],[97.1,10856],[97.1,10923],[97.1,10989],[97.1,11056],[97.1,11123],[97.1,11189],[97.1,11256],[97.1,11323],[97.1,11390],[97.1,11456],[97.1,11522],[97.1,11589],[97.1,11656],[97.1,11722],[97.1,11789],[97.1,11856],[97.1,11922],[97.1,11989],[97.1,12055],[97.1,12122],[97.1,12188],[97.1,12255],[97.1,12322],[97.1,12388],[97.1,12455],[97.1,12521],[97.1,12588],[97.1,12655],[97.1,12722],[97.1,12788],[97.1,12855],[97.1,12921],[97.1,12988],[97.1,13054],[97.1,13121],[97.1,13188],[97.1,13255],[97.1,13321],[97.1,13388],[97.1,13454],[97.1,13521],[97.1,13587],[97.1,13654],[97.1,13720],[97.1,13787],[97.1,13854],[97.1,13920],[97.1,13987],[97.1,14054],[97.1,14120],[97.1,14187],[97.1,14253],[97.1,14320],[97.1,14387],[97.1,14453],[97.1,14520],[97.1,14587],[97.1,14653],[97.1,14720],[97.1,14786],[97.1,14853],[97.1,14920],[97.1,14986],[97.1,15053],[97.1,15119],[97.1,15186],[97.1,15253],[97.1,15319],[97.1,15386],[97,15452],[96.8,15519],[96,15586],[93.1,15653],[92.6,15719],[92.6,15786],[92.6,15852],[92.6,15919],[93.5,15986]]",1,0,122.7132,127.8746,96.5625,4.0014,"[{""rating"":96.5625,""responseTime"":4.001400000035801}]",space,4.5632,,127.8748,Not at all,0,127.879,,,[],,0,1,1,1,1,audio/Narrative7Situation1.wav,audio/Narrative8Situation1.wav,audio/Narrative5Situation1.wav,audio/Narrative6Situation1.wav,2,5,5,2,2.3989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
