exp_question,consent.started,consent.stopped,consentResponse.keys,consentResponse.rt,consentResponse.duration,participantID,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,opening1.started,opening1.stopped,keyEndingOpening1.keys,keyEndingOpening1.rt,keyEndingOpening1.duration,volumeAdjust.started,volumeAdjust.stopped,endingAdjust.keys,endingAdjust.rt,endingAdjust.duration,opening2.started,opening2.stopped,keyEndingOpening.keys,keyEndingOpening.rt,keyEndingOpening.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,instructionLoop.ran,readyForAudio.started,readyForAudio.stopped,fixation.started,fixation.stopped,endPractice.keys,audioPre.started,audioPre.stopped,continuousResponses_audio,continuousSlider.response,continuousSlider.rt,catchQuestion.started,catch_label,catch_value,catchQuestion.stopped,catchQuestionSlider.response,catchQuestionSlider.rt,catchQuestionSlider.history,confirmResponse_2.keys,intRating.started,intRating.stopped,intQuestionSlider.response,intQuestionSlider.rt,intQuestionSlider.history,confirmResponse.keys,confirmResponse.rt,confirmResponse.duration,audioRunLoop.thisRepN,audioRunLoop.thisTrialN,audioRunLoop.thisN,audioRunLoop.thisIndex,audioRunLoop.ran,conditions1_1,conditions2_1,conditions1_2,conditions2_2,dur1_1,dur2_1,dur1_2,dur2_2,endPractice.rt,endPractice.duration,confirmResponse_2.rt,confirmResponse_2.duration,runIntervalBreak.started,runIntervalBreak.stopped,endingBreakKey.keys,endingBreakKey.rt,endingBreakKey.duration,connection.started,connection.stopped,connectionEnding.keys,connectionEnding.rt,connectionEnding.duration,readyForText.started,readyForText.stopped,textPre.started,textPre.stopped,continuousResponses_text,textRunLoop.thisRepN,textRunLoop.thisTrialN,textRunLoop.thisN,textRunLoop.thisIndex,textRunLoop.ran,text1_1,text1_2,text2_1,text2_2,runBreakText.started,runBreakText.stopped,endingBreakKey_2.keys,endingBreakKey_2.rt,endingBreakKey_2.duration,ending.started,ending.stopped,endingEnding.keys,endingEnding.rt,endingEnding.duration
,,,,,,5c11f3face422b0001d69416,2024-02-05_11h28.10.959,group3.1-3.2-social-tom,2023.2.2,MacIntel,60.24096386,65b1b24e3a500fd6b5dc9abd,65c10c4e71fb575465c6d062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.4838,402.4909,,402.4909,409.9885,"[[999,1],[999,199],[999,400],[999,597],[999,798],[999,999],[999,1199],[999,1401],[999,1600],[999,1797],[999,2000],[999,2201],[999,2399],[999,2600],[999,2798],[999,2999],[999,3200],[999,3399],[999,3599],[999,3800],[999,4000],[999,4200],[999,4398],[999,4599],[999,4798],[999,5000],[999,5200],[999,5400],[999,5599],[999,5800],[999,5998],[999,6200],[999,6399],[999,6600],[999,6799],[999,6998],[999,7200],[999,7400]]",1,0,409.9888,All the time,100,410.0008,,,[],,410.0009,422.9567,56.06892904,10.2784,"[{""rating"":56.068929036458336,""responseTime"":10.278399999999863}]",space,12.42,,0,2,2,2,1,audio/Narrative7Situation2.wav,audio/Narrative8Situation2.wav,audio/Narrative5Situation2.wav,audio/Narrative6Situation2.wav,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c11f3face422b0001d69416,2024-02-05_11h28.10.959,group3.1-3.2-social-tom,2023.2.2,MacIntel,60.24096386,65b1b24e3a500fd6b5dc9abd,65c10c4e71fb575465c6d062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.9575,430.9737,,430.9739,440.2592,"[[999,9],[999,200],[999,397],[999,600],[999,801],[999,997],[999,1198],[999,1397],[999,1600],[999,1797],[999,2000],[999,2200],[999,2400],[999,2600],[999,2800],[999,3000],[999,3201],[999,3400],[999,3599],[999,3801],[999,4001],[999,4197],[999,4400],[999,4601],[56.4,4798],[52.8,5000],[50.9,5200],[50.5,5400],[50.5,5600],[50.5,5800],[50.5,5998],[50.5,6201],[50.5,6400],[50.5,6600],[50.5,6800],[50.5,7000],[50.5,7201],[50.5,7398],[50.5,7600],[50.5,7799],[50.5,8001],[50.4,8201],[50.1,8399]]",1,0,440.2594,All the time,100,440.2618,,,[],,440.2619,454.6755,49.61140951,9.7855,"[{""rating"":49.61140950520833,""responseTime"":9.785500000000013}]",space,13.8713,,0,3,3,3,1,audio/Narrative7Situation3.wav,audio/Narrative8Situation3.wav,audio/Narrative5Situation3.wav,audio/Narrative6Situation3.wav,8,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c11f3face422b0001d69416,2024-02-05_11h28.10.959,group3.1-3.2-social-tom,2023.2.2,MacIntel,60.24096386,65b1b24e3a500fd6b5dc9abd,65c10c4e71fb575465c6d062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.6843,457.6924,,457.6925,469.4249,"[[999,1],[999,197],[999,398],[999,599],[999,796],[999,998],[999,1196],[999,1395],[999,1599],[999,1798],[999,1995],[999,2196],[999,2397],[999,2597],[999,2796],[999,2999],[43.8,3198],[43.5,3398],[43.5,3596],[43.5,3799],[43.5,3998],[43.5,4198],[43.5,4395],[43.5,4595],[43.5,4797],[43.6,4998],[43.6,5199],[43.6,5395],[43.6,5595],[43.6,5796],[43.6,5997],[43.6,6198],[43.6,6398],[43.6,6598],[43.6,6798],[43.6,6998],[43.6,7196],[43.6,7397],[43.6,7599],[43.6,7796],[43.6,7999],[43.6,8196],[43.6,8398],[43.6,8599],[43.6,8799],[43.6,8996],[43.7,9198],[58.2,9996],[57.6,10196],[58.4,10398],[58.6,10596],[60.9,10797],[65.3,11000],[66.5,11197],[66.6,11396],[66.6,11597]]",1,0,469.4253,Half the time,50,469.4295,,,[],,469.4295,480.7252,55.68644206,7.0365,"[{""rating"":55.686442057291664,""responseTime"":7.036499999999933}]",space,10.759,,0,4,4,4,1,audio/Narrative7Situation4.wav,audio/Narrative8Situation4.wav,audio/Narrative5Situation4.wav,audio/Narrative6Situation4.wav,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c11f3face422b0001d69416,2024-02-05_11h28.10.959,group3.1-3.2-social-tom,2023.2.2,MacIntel,60.24096386,65b1b24e3a500fd6b5dc9abd,65c10c4e71fb575465c6d062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.7356,485.7417,,485.7418,494.2426,"[[999,9],[999,199],[999,398],[999,599],[999,798],[999,999],[999,1198],[999,1399],[999,1599],[999,1799],[999,1999],[999,2198],[999,2398],[999,2600],[999,2797],[999,2999],[999,3200],[999,3399],[999,3601],[999,3799],[999,3996],[999,4198],[999,4397],[999,4599],[45.9,4799],[42.3,5000],[43.5,5199],[45.7,5397],[47.3,5599],[48.2,5799],[48.9,6000],[49.3,6198],[49.3,6399],[49.3,6597],[49.3,6800],[49.3,6998],[49.3,7199],[49.3,7398],[49.3,7597],[49.3,7799],[49.3,7998],[49.3,8198]]",1,0,494.2428,Half the time,50,494.2456,,,[],,494.2457,519.4754,14.44498698,3.7818,"[{""rating"":14.444986979166668,""responseTime"":3.7818000000003167}]",space,24.6943,,0,5,5,5,1,audio/Narrative7Situation5.wav,audio/Narrative8Situation5.wav,audio/Narrative5Situation5.wav,audio/Narrative6Situation5.wav,5,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c11f3face422b0001d69416,2024-02-05_11h28.10.959,group3.1-3.2-social-tom,2023.2.2,MacIntel,60.24096386,65b1b24e3a500fd6b5dc9abd,65c10c4e71fb575465c6d062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.4866,522.4888,,522.4889,532.4578,"[[999,1],[999,202],[999,401],[999,601],[999,799],[999,1001],[999,1202],[999,1403],[999,1602],[999,1802],[999,2002],[999,2200],[999,2402],[999,2600],[999,2803],[999,3001],[999,3202],[999,3403],[999,3601],[33.2,3803],[33.2,4002],[33.2,4203],[33.2,4399],[35.4,4604],[43.8,4802],[48.3,5001],[49,5203],[49.2,5403],[49.2,5600],[49.2,5802],[49.2,6001],[49.2,6202],[49.2,6403],[49.3,6603],[49.3,6801],[49.3,7003],[49.3,7200],[49.4,7400],[49.6,7603],[57.4,7799],[60.7,8002],[61.6,8203],[62.2,8401],[62.2,8602],[62.2,8799],[62.2,9002],[62.2,9200],[62.2,9399],[62.2,9601],[62.2,9799]]",1,0,532.4582,Half the time,50,532.4617,,,[],,532.4617,539.4257,61.97875977,3.1379,"[{""rating"":61.978759765625,""responseTime"":3.1379000000004}]",space,6.4164,,0,6,6,6,1,audio/Narrative7Situation6.wav,audio/Narrative8Situation6.wav,audio/Narrative5Situation6.wav,audio/Narrative6Situation6.wav,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c11f3face422b0001d69416,2024-02-05_11h28.10.959,group3.1-3.2-social-tom,2023.2.2,MacIntel,60.24096386,65b1b24e3a500fd6b5dc9abd,65c10c4e71fb575465c6d062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.4265,544.4412,,544.4413,561.625,"[[999,10],[999,200],[999,401],[999,597],[999,800],[999,1000],[999,1200],[999,1400],[999,1600],[999,1799],[999,2000],[999,2198],[999,2399],[999,2601],[999,2800],[999,3000],[999,3201],[999,3401],[999,3601],[30.2,3801],[30.1,4000],[30.1,4200],[30.1,4399],[30.1,4600],[30.1,4800],[30.1,4997],[30.1,5198],[30.1,5397],[30.1,5599],[29.9,5801],[29.7,6000],[28.6,6200],[28.6,6400],[28.6,6599],[28.6,6800],[28.6,6997],[28.6,7200],[28.6,7400],[28.6,7599],[28.6,7799],[28.6,8000],[28.7,8197],[30.2,8399],[32.4,8601],[33,8800],[34.2,8999],[34.3,9200],[34.3,9400],[34.3,9600],[34.3,9800],[34.3,10000],[34.3,10201],[34.3,10397],[34.3,10601],[34.3,10800],[34.3,10997],[34.3,11200],[34.3,11400],[34.3,11600],[34.3,11800],[34.3,12000],[34.3,12200],[34.3,12399],[34.3,12597],[34.3,12800],[34.3,13000],[34.3,13200],[34.4,13401],[34.4,13599],[35.4,13797],[35.9,13998],[38.3,14200],[38.3,14397],[38.3,14600],[38.3,14801],[38.3,14997],[38.3,15200],[38.3,15399],[38.3,15600],[38.3,15798],[38.3,16000],[38.3,16198],[38.3,16401],[38.3,16597],[38.3,16800],[38.3,17000]]",1,0,561.6254,All the time,100,561.6375,,,[],,561.6375,574.0726,39.09342448,3.295,"[{""rating"":39.093424479166664,""responseTime"":3.294999999999959}]",space,11.9101,,0,7,7,7,1,audio/Narrative7Situation7.wav,audio/Narrative8Situation7.wav,audio/Narrative5Situation7.wav,audio/Narrative6Situation7.wav,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c11f3face422b0001d69416,2024-02-05_11h28.10.959,group3.1-3.2-social-tom,2023.2.2,MacIntel,60.24096386,65b1b24e3a500fd6b5dc9abd,65c10c4e71fb575465c6d062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0829,576.0909,,576.091,586.1281,"[[999,0],[999,201],[999,401],[999,601],[999,800],[999,1000],[999,1200],[999,1401],[999,1600],[999,1801],[999,2000],[999,2200],[999,2398],[999,2598],[35.7,2799],[16.5,6200],[14.3,6400],[14.3,6601],[14.1,6801],[14.1,6998],[14.1,7199],[14.1,7399],[14.1,7599],[14.1,7800],[14.1,8000],[14.1,8201],[14.1,8400],[14.1,8599],[14.1,8801],[14.1,9001],[14.1,9200],[14.1,9399],[14.1,9601],[14.1,9801],[14.1,10001]]",1,0,586.1285,Half the time,50,586.1404,,,[],,586.1404,591.7761,13.98722331,1.69,"[{""rating"":13.987223307291668,""responseTime"":1.6900000000000546}]",space,5.1053,,0,8,8,8,1,audio/Narrative7Situation8.wav,audio/Narrative8Situation8.wav,audio/Narrative5Situation8.wav,audio/Narrative6Situation8.wav,2,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c11f3face422b0001d69416,2024-02-05_11h28.10.959,group3.1-3.2-social-tom,2023.2.2,MacIntel,60.24096386,65b1b24e3a500fd6b5dc9abd,65c10c4e71fb575465c6d062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.7853,593.7923,,593.7925,602.4259,"[[999,1],[999,199],[999,399],[999,598],[999,798],[999,998],[999,1200],[999,1399],[999,1599],[999,1800],[999,1998],[999,2200],[999,2400],[42.8,2597],[47.5,2800],[49,2998],[49.6,3199],[49.6,3396],[49.6,3600],[49.4,3799],[49.4,3999],[49.4,4198],[49.4,4399],[49.4,4599],[49.4,4798],[49.4,4996],[49.4,5198],[49.4,5396],[49.4,5599],[49.4,5799],[49.4,5999],[49.6,6197],[49.8,6399],[49.8,6597],[49.8,6799],[49.8,6999],[49.7,7198],[49.7,7398],[49.7,7597],[49.7,7796],[49.7,7999],[49.7,8198],[49.7,8399],[49.7,8596]]",1,0,602.4262,Not at all,0,602.4302,,,[],,602.4302,604.974,49.70255534,0.8672,"[{""rating"":49.702555338541664,""responseTime"":0.867200000000139}]",space,2.0045,,0,9,9,9,1,audio/Narrative7Situation9.wav,audio/Narrative8Situation9.wav,audio/Narrative5Situation9.wav,audio/Narrative6Situation9.wav,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c11f3face422b0001d69416,2024-02-05_11h28.10.959,group3.1-3.2-social-tom,2023.2.2,MacIntel,60.24096386,65b1b24e3a500fd6b5dc9abd,65c10c4e71fb575465c6d062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.9749,609.9764,,609.9765,625.9096,"[[999,10],[46.3,2598],[46.3,2798],[46.3,2998],[46.4,3196],[46.4,3397],[46.4,3600],[46.4,3799],[46.4,3999],[46.4,4199],[58.4,6799],[62.9,7000],[62.2,7199],[62.2,7396],[62.2,7597],[62.2,7798],[62.2,8000],[62.2,8198],[62.2,8397],[62.2,8598],[62.2,8797],[62.2,8999],[62.2,9198],[62.2,9399],[62.2,9596],[62.2,9796],[62.2,9997],[62.2,10199],[62.2,10399],[62.2,10599],[62.2,10799],[62.2,10999],[62.2,11199],[62.2,11397],[62.2,11596],[62.2,11799],[62.2,11996],[62.2,12199],[62.2,12395],[62.2,12598],[62.2,12797],[62.2,12999],[62.2,13199],[62.2,13398],[62.2,13599],[62.2,13798],[62.2,13997],[62.2,14197],[62.2,14399],[62.2,14597],[62.8,14796],[71.3,14999],[71.7,15200],[73.2,15397],[73.3,15597],[73.3,15799]]",1,0,625.9096,Not at all,0,625.9109,,,[],,625.9109,632.8258,72.26114909,2.9764,"[{""rating"":72.26114908854167,""responseTime"":2.9763999999998987}]",space,6.366,,0,10,10,10,1,audio/Narrative8Situation1.wav,audio/Narrative7Situation1.wav,audio/Narrative6Situation1.wav,audio/Narrative5Situation1.wav,5,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5c11f3face422b0001d69416,2024-02-05_11h28.10.959,group3.1-3.2-social-tom,2023.2.2,MacIntel,60.24096386,65b1b24e3a500fd6b5dc9abd,65c10c4e71fb575465c6d062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.8354,635.8398,,635.8401,645.9607,"[[999,1],[999,201],[999,399],[999,601],[999,801],[999,1002],[999,1201],[999,1400],[999,1602],[999,1802],[999,2001],[999,2201],[999,2402],[999,2602],[999,2803],[999,3000],[999,3202],[999,3402],[999,3599],[999,3802],[999,4000],[999,4202],[999,4400],[999,4602],[999,4801],[999,5002],[999,5200],[999,5400],[999,5602],[999,5801],[999,6001],[999,6202],[999,6401],[999,6601],[999,6799],[999,7002],[999,7200],[999,7401],[999,7600],[999,7802],[999,8002],[999,8202],[999,8402],[999,8601],[999,8801],[999,9002],[999,9200],[999,9402],[999,9600],[33.4,9802],[33.5,10001]]",1,0,645.9612,All the time,100,645.965,,,[],,645.9651,651.1931,5.394287109,1.8025,"[{""rating"":5.394287109375001,""responseTime"":1.802500000000009}]",space,4.6866,,0,11,11,11,1,audio/Narrative8Situation2.wav,audio/Narrative7Situation2.wav,audio/Narrative6Situation2.wav,audio/Narrative5Situation2.wav,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
