exp_question,consent.started,consent.stopped,consentResponse.keys,consentResponse.rt,consentResponse.duration,participantID,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,opening1.started,opening1.stopped,keyEndingOpening1.keys,keyEndingOpening1.rt,keyEndingOpening1.duration,volumeAdjust.started,volumeAdjust.stopped,endingAdjust.keys,endingAdjust.rt,endingAdjust.duration,opening2.started,opening2.stopped,keyEndingOpening.keys,keyEndingOpening.rt,keyEndingOpening.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,instructionLoop.ran,readyForAudio.started,readyForAudio.stopped,fixation.started,fixation.stopped,endPractice.keys,audioPre.started,audioPre.stopped,continuousResponses_audio,continuousSlider.response,continuousSlider.rt,catchQuestion.started,catch_label,catch_value,catchQuestion.stopped,catchQuestionSlider.response,catchQuestionSlider.rt,catchQuestionSlider.history,confirmResponse_2.keys,intRating.started,intRating.stopped,intQuestionSlider.response,intQuestionSlider.rt,intQuestionSlider.history,confirmResponse.keys,confirmResponse.rt,confirmResponse.duration,audioRunLoop.thisRepN,audioRunLoop.thisTrialN,audioRunLoop.thisN,audioRunLoop.thisIndex,audioRunLoop.ran,conditions1_1,conditions2_1,conditions1_2,conditions2_2,dur1_1,dur2_1,dur1_2,dur2_2,endPractice.rt,endPractice.duration,confirmResponse_2.rt,confirmResponse_2.duration,runIntervalBreak.started,runIntervalBreak.stopped,endingBreakKey.keys,endingBreakKey.rt,endingBreakKey.duration,connection.started,connection.stopped,connectionEnding.keys,connectionEnding.rt,connectionEnding.duration,readyForText.started,readyForText.stopped,textPre.started,textPre.stopped,continuousResponses_text,textRunLoop.thisRepN,textRunLoop.thisTrialN,textRunLoop.thisN,textRunLoop.thisIndex,textRunLoop.ran,text1_1,text1_2,text2_1,text2_2,runBreakText.started,runBreakText.stopped,endingBreakKey_2.keys,endingBreakKey_2.rt,endingBreakKey_2.duration,ending.started,ending.stopped,endingEnding.keys,endingEnding.rt,endingEnding.duration
tom,0.0003,5.1149,y,4.8024,,61202b6be797314915cb1bd7,2024-02-05_10h15.17.224,group3.1-3.2-social-tom,2023.2.2,MacIntel,133.3333333,65b1b24e3a500fd6b5dc9abd,65c109556c65fd9357ae3391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61202b6be797314915cb1bd7,2024-02-05_10h15.17.224,group3.1-3.2-social-tom,2023.2.2,MacIntel,133.3333333,65b1b24e3a500fd6b5dc9abd,65c109556c65fd9357ae3391,5.1152,29.6426,space,24.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61202b6be797314915cb1bd7,2024-02-05_10h15.17.224,group3.1-3.2-social-tom,2023.2.2,MacIntel,133.3333333,65b1b24e3a500fd6b5dc9abd,65c109556c65fd9357ae3391,,,,,,29.6429,37.2007,space,7.2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61202b6be797314915cb1bd7,2024-02-05_10h15.17.224,group3.1-3.2-social-tom,2023.2.2,MacIntel,133.3333333,65b1b24e3a500fd6b5dc9abd,65c109556c65fd9357ae3391,,,,,,,,,,,37.2052,44.3802,space,7.1596,,[],[],[],[],[],[],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61202b6be797314915cb1bd7,2024-02-05_10h15.17.224,group3.1-3.2-social-tom,2023.2.2,MacIntel,133.3333333,65b1b24e3a500fd6b5dc9abd,65c109556c65fd9357ae3391,,,,,,,,,,,44.3808,64.4126,space,19.9845,,[],[],[],[],[],[],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61202b6be797314915cb1bd7,2024-02-05_10h15.17.224,group3.1-3.2-social-tom,2023.2.2,MacIntel,133.3333333,65b1b24e3a500fd6b5dc9abd,65c109556c65fd9357ae3391,,,,,,,,,,,64.4239,101.0667,space,36.615,,[],[],[],[],[],[],2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61202b6be797314915cb1bd7,2024-02-05_10h15.17.224,group3.1-3.2-social-tom,2023.2.2,MacIntel,133.3333333,65b1b24e3a500fd6b5dc9abd,65c109556c65fd9357ae3391,,,,,,,,,,,101.0779,130.0317,space,28.9395,,[],[],[],[],[],[],3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61202b6be797314915cb1bd7,2024-02-05_10h15.17.224,group3.1-3.2-social-tom,2023.2.2,MacIntel,133.3333333,65b1b24e3a500fd6b5dc9abd,65c109556c65fd9357ae3391,,,,,,,,,,,130.0437,145.9192,space,15.8629,,[],[],[],[],[],[],4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61202b6be797314915cb1bd7,2024-02-05_10h15.17.224,group3.1-3.2-social-tom,2023.2.2,MacIntel,133.3333333,65b1b24e3a500fd6b5dc9abd,65c109556c65fd9357ae3391,,,,,,,,,,,,,,,,,,,,,,,,,,,145.9339,148.5139,148.535,150.543,,150.5434,180.2848,"[[73.2,1319],[47.2,1419],[46.4,1520],[46.4,1619],[48,1718],[50,1821],[50.3,1919],[50.4,2020],[50.4,2119],[50.4,2219],[50.4,2319],[50.4,2419],[50.4,2519],[50.4,2620],[50.4,2719],[50.4,2819],[50.4,2919],[50.4,3020],[50.4,3119],[50.4,3219],[50.4,3319],[50.4,3419],[50.4,3519],[50.4,3619],[50.4,3718],[50.4,3821],[50.4,3918],[50.4,4019],[50.4,4120],[50.4,4219],[50.4,4319],[50.4,4420],[50.4,4519],[50.4,4620],[50.4,4720],[50.4,4819],[50.4,4919],[50.4,5019],[50.4,5119],[50.4,5219],[50.4,5319],[50.4,5419],[50.4,5519],[50.4,5619],[50.4,5719],[50.4,5819],[50.4,5919],[50.4,6019],[50.4,6118],[50.4,6219],[50.4,6319],[50.4,6420],[50.4,6519],[50.4,6619],[50.4,6719],[50.4,6820],[50.4,6919],[50.4,7020],[50.4,7120],[50.4,7219],[50.4,7319],[50.4,7419],[50.4,7519],[50.4,7619],[50.4,7719],[50.4,7819],[50.4,7921],[50.4,8019],[50.4,8120],[50.4,8219],[50.4,8319],[50.4,8419],[50.4,8519],[50.4,8620],[50.4,8719],[50.4,8819],[50.4,8919],[50.4,9019],[50.4,9120],[50.4,9219],[50.4,9319],[50.4,9420],[50.4,9520],[50.4,9620],[50.4,9718],[50.4,9819],[50.4,9919],[50.4,10019],[50.4,10119],[50.4,10219],[50.4,10319],[50.4,10419],[50.4,10520],[50.4,10619],[50.4,10718],[50.4,10840],[50.4,10940],[50.4,11040],[50.4,11140],[50.4,11240],[50.4,11340],[50.4,11440],[50.4,11540],[50.4,11640],[50.4,11740],[50.4,11840],[50.4,11941],[50.4,12040],[50.4,12140],[50.4,12248],[50.4,12348],[50.4,12449],[50.4,12549],[50.4,12648],[50.4,12749],[50.4,12849],[50.4,12948],[50.7,13056],[52.5,13149],[55.3,13250],[60,13350],[62.9,13449],[63.2,13549],[63.2,13657],[63.2,13757],[63.2,13857],[63.2,13956],[63.2,14057],[63.2,14157],[63.2,14257],[63.2,14357],[63.2,14457],[63.2,14557],[63.2,14657],[63.2,14757],[63.2,14857],[63.2,14957],[63.2,15057],[63.2,15156],[63.2,15256],[63.2,15356],[63.2,15458],[63.2,15556],[63.2,15656],[63.2,15757],[63.2,15857],[63.2,15956],[63.2,16057],[63.2,16157],[63.2,16257],[63.2,16356],[63.2,16457],[63.2,16557],[63.2,16657],[63.2,16757],[63.2,16856],[63.2,16956],[63.2,17056],[63.2,17157],[63.2,17256],[63.2,17356],[63.2,17457],[63.2,17556],[63.2,17657],[63.2,17756],[63.2,17857],[63.2,17957],[63.2,18057],[63.2,18156],[63.2,18257],[63.2,18356],[63.2,18457],[63.2,18556],[63.2,18657],[63.2,18757],[63.2,18857],[63.2,18957],[63.2,19057],[63.2,19157],[63.2,19257],[63.2,19356],[63.2,19457],[63.2,19556],[63.2,19656],[63.2,19757],[63.2,19856],[63.2,19957],[63.2,20057],[63.2,20157],[63.2,20257],[63.2,20357],[63.2,20457],[65.5,20557],[68.3,20657],[68.6,20756],[68.6,20857],[68.6,20956],[68.6,21057],[68.6,21156],[68.6,21257],[68.6,21356],[68.6,21457],[68.6,21557],[68.6,21658],[68.6,21758],[68.6,21857],[68.6,21957],[68.6,22057],[68.6,22157],[68.6,22257],[68.6,22356],[68.6,22457],[68.6,22556],[68.6,22656],[68.6,22757],[68.6,22857],[68.6,22957],[68.6,23057],[68.6,23157],[68.6,23257],[68.6,23356],[68.6,23457],[68.6,23557],[68.6,23657],[68.6,23757],[68.6,23857],[76.2,23957],[84.9,24057],[87.4,24158],[89.5,24258],[89.5,24358],[89.5,24457],[89.5,24558],[89.5,24657],[89.5,24757],[89.5,24856],[89.5,24957],[89.5,25056],[89.5,25157],[89.5,25256],[89.5,25357],[89.5,25456],[89.5,25556],[89.5,25656],[89.5,25757],[89.5,25857],[89.5,25958],[89.5,26056],[89.5,26157],[89.5,26258],[89.5,26357],[89.5,26457],[89.5,26557],[89.5,26657],[89.5,26757],[89.5,26856],[89.5,26957],[89.5,27056],[89.5,27157],[89.5,27256],[89.5,27356],[89.5,27457],[89.5,27557],[89.5,27656],[89.5,27756],[89.5,27858],[89.5,27957],[89.5,28056],[89.5,28157],[89.5,28257],[89.5,28357],[89.5,28456],[89.5,28557],[89.5,28657],[89.5,28757],[89.5,28857],[89.5,28957],[89.5,29057],[89.5,29156],[89.5,29257],[89.5,29356],[89.5,29457],[89.5,29557],[89.5,29657]]",1,0,180.2855,Half the time,50,180.2898,,,[],,180.29,184.1517,77.55456349,2.5796,"[{""rating"":77.5545634920635,""responseTime"":2.5795999999999992}]",space,3.3471,,0,0,0,0,1,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,61202b6be797314915cb1bd7,2024-02-05_10h15.17.224,group3.1-3.2-social-tom,2023.2.2,MacIntel,133.3333333,65b1b24e3a500fd6b5dc9abd,65c109556c65fd9357ae3391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.1522,187.1592,space,187.1593,203.0719,"[[77.5,999],[63.9,1099],[57.4,1200],[52.5,1299],[49.6,1399],[48.5,1500],[48.5,1599],[48.5,1698],[48.5,1800],[48.5,1899],[48.5,1999],[49,2099],[49.5,2199],[49.9,2299],[49.9,2399],[49.9,2498],[49.9,2598],[49.9,2699],[49.9,2799],[49.9,2899],[49.9,2999],[49.9,3101],[49.9,3199],[49.9,3299],[49.9,3400],[49.9,3498],[49.9,3599],[49.9,3699],[49.9,3799],[49.9,3899],[49.9,3999],[49.9,4100],[49.9,4199],[49.9,4301],[49.9,4400],[49.9,4498],[49.9,4598],[49.9,4700],[49.9,4799],[49.9,4900],[49.9,4999],[49.9,5099],[49.9,5199],[49.9,5300],[49.9,5398],[49.9,5498],[49.9,5600],[49.9,5700],[49.9,5799],[49.9,5902],[49.9,5999],[49.9,6100],[49.9,6199],[49.9,6299],[49.9,6399],[49.9,6498],[49.9,6598],[49.9,6699],[49.9,6800],[49.9,6900],[49.9,7006],[49.9,7112],[49.9,7208],[49.9,7308],[49.9,7407],[49.9,7507],[49.9,7608],[49.9,7708],[49.9,7807],[49.9,7908],[49.9,8007],[49.9,8108],[49.9,8208],[49.9,8308],[49.9,8408],[49.9,8507],[49.9,8607],[49.9,8708],[49.9,8807],[49.9,8907],[49.9,9007],[49.9,9108],[49.9,9208],[49.9,9307],[49.9,9407],[49.9,9507],[49.9,9607],[49.9,9707],[49.9,9807],[49.9,9908],[49.9,10008],[49.9,10111],[49.9,10208],[49.9,10307],[49.9,10409],[49.9,10507],[49.9,10607],[49.9,10708],[49.9,10807],[49.9,10908],[50.1,11008],[54.3,11116],[56.7,11219],[56.9,11316],[56.9,11416],[56.9,11515],[56.9,11616],[56.9,11716],[56.9,11815],[56.9,11916],[56.9,12016],[56.9,12116],[56.9,12215],[56.9,12316],[56.9,12421],[56.9,12520],[56.9,12620],[56.9,12720],[56.9,12820],[56.9,12920],[56.9,13019],[56.9,13122],[56.9,13220],[56.9,13320],[56.9,13420],[56.9,13520],[56.9,13620],[56.9,13720],[56.9,13820],[56.9,13920],[56.9,14020],[56.9,14119],[56.9,14220],[56.9,14319],[56.9,14420],[56.9,14521],[56.9,14620],[56.9,14720],[56.9,14819],[56.9,14920],[56.9,15020],[56.9,15120],[56.9,15220],[56.9,15320],[56.9,15420],[56.9,15520],[56.9,15620],[56.9,15719],[56.9,15820]]",1,0,203.0722,Not at all,0,203.0839,,,[],,203.0839,206.0372,53.74762318,2.1539,"[{""rating"":53.74762318121693,""responseTime"":2.1538999999999078}]",space,2.4369,,0,1,1,1,1,audio/Narrative7Situation1.wav,audio/Narrative8Situation1.wav,audio/Narrative5Situation1.wav,audio/Narrative6Situation1.wav,2,5,5,2,2.9948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
