trial,time,word,social_ratings,social_ratings_mad,social_validPar_trial,social_validPar_time,social_included,tom_ratings,tom_ratings_mad,tom_validPar_trial,tom_validPar_time,tom_included,intentional_actions,all_actions,biological_motion,multiperson_ratings,multiperson_ratings_mad,multiperson_validPar_trial,multiperson_validPar_time,multiperson_included,indoor,outdoor,pos_label,neu_label,neg_label,pos_prob,neu_prob,neg_prob,character_speaking,physical_interactions,n_syllables,word_frequency,sentence_complexity_FleschKincaidGrade,frame_Self_motion,frame_Buildings,frame_Perception_experience,frame_Statement,frame_Personal_relationship,frame_People,frame_Arriving,frame_Kinship,social_annotations,tom_annotations,pos_tag_CC,pos_tag_CD,pos_tag_DT,pos_tag_IN,pos_tag_JJ,pos_tag_MD,pos_tag_NN,pos_tag_NNP,pos_tag_NNS,pos_tag_POS,pos_tag_PRP,pos_tag_PRP$,pos_tag_RB,pos_tag_TO,pos_tag_VB,pos_tag_VBD,pos_tag_VBG,pos_tag_VBN,pos_tag_WDT,pos_tag_WP,pos_tag_WRB,pos_tag_RP
1,0.0,Anna,100.0,0.0,97,1,0,,25.3,85,0,0,0.465346535,0.683168317,0.311320755,,3.6000000000000014,69.0,0,0,0.5,0.5,0,0,1,0.0029214471578598,0.1085245311260223,0.8885539770126343,0.0,0.0,2.0,2.34e-05,6.726153846,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.23,Anna,75.0,17.5,97,5,0,74.7,24.8,85,2,0,0.465346535,0.683168317,0.311320755,54.5,21.099999999999994,69.0,3,0,0.5,0.5,0,0,1,0.0029214471578598,0.1085245311260223,0.8885539770126343,0.0,0.0,2.0,2.34e-05,6.726153846,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.46,Anna,67.664,6.836,97,7,0,74.2,8.15,85,3,0,0.465346535,0.683168317,0.311320755,73.7,19.719277108433715,69.0,5,0,0.5,0.5,0,0,1,0.0029214471578598,0.1085245311260223,0.8885539770126343,0.0,0.0,2.0,2.34e-05,6.726153846,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.69,and,58.07349398,10.05920826,97,17,0,58.4,7.2,85,6,0,0.465346535,0.683168317,0.311320755,73.7,18.82692307692308,69.0,9,0,0.5,0.5,0,0,1,0.0029214471578598,0.1085245311260223,0.8885539770126343,0.0,0.0,1.0,0.0257,6.726153846,0,0,1,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.92,her,61.5,14.97663551,97,25,0,53.6,6.394691781,85,15,0,0.465346535,0.683168317,0.311320755,75.37307692307692,14.777366863905325,69.0,15,0,0.5,0.5,0,0,1,0.0029214471578598,0.1085245311260223,0.8885539770126343,0.0,0.0,1.0,0.002,6.726153846,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1.15,husband,56.8,11.55180723,97,31,0,52.9,9.8,85,24,0,0.465346535,0.683168317,0.311320755,70.62141448295294,11.26998228206945,69.0,22,0,0.5,0.5,0,0,1,0.0029214471578598,0.1085245311260223,0.8885539770126343,0.0,0.0,2.0,0.0001,6.726153846,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.38,husband,54.60510128,11.10510128,97,37,0,51.33615094,9.44950495,85,32,0,0.465346535,0.683168317,0.311320755,61.783235294117645,8.189666666666664,69.0,28,0,0.5,0.5,0,0,1,0.0029214471578598,0.1085245311260223,0.8885539770126343,0.0,0.0,2.0,0.0001,6.726153846,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.61,Glen,53.55258815,6.052588147,97,45,0,50.8,14.88290766,85,39,0,0.465346535,0.683168317,0.311320755,57.489666666666665,9.02187209017398,69.0,34,0,0.5,0.5,0,0,1,0.0029214471578598,0.1085245311260223,0.8885539770126343,0.0,0.0,1.0,7.41e-06,6.726153846,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.84,Glen,52.50007502,6.616591648,97,51,1,49.9,15.54917161,85,45,1,0.465346535,0.683168317,0.311320755,58.67615780445969,10.202631578947363,69.0,35,1,0.5,0.5,0,0,1,0.0029214471578598,0.1085245311260223,0.8885539770126343,0.0,0.0,1.0,7.41e-06,6.726153846,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.07,Glen,51.18330475,11.11368017,97,56,1,49.9,13.59767895,85,50,1,0.465346535,0.683168317,0.311320755,58.43327615780446,10.206076683602827,69.0,36,1,0.5,0.5,0,0,1,0.0029214471578598,0.1085245311260223,0.8885539770126343,0.0,0.0,1.0,7.41e-06,6.726153846,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
