trial,time,word,social_ratings,social_ratings_mad,social_validPar_trial,social_validPar_time,social_included,tom_ratings,tom_ratings_mad,tom_validPar_trial,tom_validPar_time,tom_included,intentional_actions,all_actions,biological_motion,multiperson_ratings,multiperson_ratings_mad,multiperson_validPar_trial,multiperson_validPar_time,multiperson_included,indoor,outdoor,pos_label,neu_label,neg_label,pos_prob,neu_prob,neg_prob,character_speaking,physical_interactions,n_syllables,word_frequency,sentence_complexity_FleschKincaidGrade,frame_Self_motion,frame_Buildings,frame_Perception_experience,frame_Statement,frame_Personal_relationship,frame_People,frame_Arriving,frame_Kinship,social_annotations,tom_annotations,pos_tag_CC,pos_tag_DT,pos_tag_IN,pos_tag_JJ,pos_tag_MD,pos_tag_NN,pos_tag_NNP,pos_tag_PRP,pos_tag_PRP$,pos_tag_RB,pos_tag_RBR,pos_tag_TO,pos_tag_VB,pos_tag_VBD,pos_tag_VBG,pos_tag_VBN,pos_tag_RP,pos_tag_WRB,pos_tag_CD,pos_tag_WDT,pos_tag_POS
1,0.0,Gloria,,0.0999999999999978,93,0,0.0,77.4,0.0,69,1,0.0,0.772277228,0.8316831689999999,0.141509434,52.1,0.0,66.0,1,0,0.5,0.5,0,1,0,0.1392209827899933,0.8584519028663635,0.0023271136451512,0.0,0.0,3.0,5.37e-06,9.785555556,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.23,Gloria,52.3,0.0,93,2,0.0,77.11627906976744,2.083720930232559,69,3,0.0,0.772277228,0.8316831689999999,0.141509434,52.0,0.0,66.0,1,0,0.5,0.5,0,1,0,0.1392209827899933,0.8584519028663635,0.0023271136451512,0.0,0.0,3.0,5.37e-06,9.785555556,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.46,Gloria,52.2,11.0,93,3,0.0,75.40267022696929,2.732623890677772,69,5,0.0,0.772277228,0.8316831689999999,0.141509434,58.45,6.849999999999998,66.0,2,0,0.5,0.5,0,1,0,0.1392209827899933,0.8584519028663635,0.0023271136451512,0.0,0.0,3.0,5.37e-06,9.785555556,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.69,and,54.55,12.65,93,10,0.0,60.9,15.730974632843804,69,11,0.0,0.772277228,0.8316831689999999,0.141509434,64.37294117647059,12.03676470588236,66.0,10,0,0.5,0.5,0,1,0,0.1392209827899933,0.8584519028663635,0.0023271136451512,0.0,0.0,1.0,0.0257,9.785555556,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.92,and,52.8,11.6,93,26,0.0,55.79821428571429,8.912945121951221,69,22,0.0,0.772277228,0.8316831689999999,0.141509434,51.91616915422885,3.3416946797543794,66.0,18,0,0.5,0.5,0,1,0,0.1392209827899933,0.8584519028663635,0.0023271136451512,0.0,0.0,1.0,0.0257,9.785555556,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.15,her,52.2,9.28294117647059,93,33,0.0,50.46927710843373,6.618854522567879,69,26,0.0,0.772277228,0.8316831689999999,0.141509434,51.65845771144279,4.480952380952381,66.0,24,0,0.5,0.5,0,1,0,0.1392209827899933,0.8584519028663635,0.0023271136451512,0.0,0.0,1.0,0.002,9.785555556,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.38,brother,50.57831325301205,9.080232558139528,93,42,0.0,50.1255,5.50097058823529,69,34,1.0,0.772277228,0.8316831689999999,0.141509434,50.60149253731343,7.001492537313432,66.0,29,0,0.5,0.5,0,1,0,0.1392209827899933,0.8584519028663635,0.0023271136451512,0.0,0.0,2.0,0.000129,9.785555556,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.61,Jim,50.01976744186047,8.730001487431206,93,49,1.0,50.05,4.828714859437749,69,38,1.0,0.772277228,0.8316831689999999,0.141509434,51.1,5.575000000000003,66.0,33,1,0.5,0.5,0,1,0,0.1392209827899933,0.8584519028663635,0.0023271136451512,0.0,0.0,1.0,4.17e-05,9.785555556,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.84,Jim,49.94506172839506,15.669483568075124,93,56,1.0,49.95,8.1609756097561,69,42,1.0,0.772277228,0.8316831689999999,0.141509434,54.45843373493976,6.991181649675628,66.0,38,1,0.5,0.5,0,1,0,0.1392209827899933,0.8584519028663635,0.0023271136451512,0.0,0.0,1.0,4.17e-05,9.785555556,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.07,had,49.8,19.58014584654407,93,60,1.0,49.9,7.087951807228919,69,45,1.0,0.772277228,0.8316831689999999,0.141509434,56.21526946107784,8.846600688468154,66.0,42,1,0.5,0.5,0,1,0,0.1392209827899933,0.8584519028663635,0.0023271136451512,0.0,0.0,1.0,0.00214,9.785555556,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
