situation,time,word,multiperson_ratings,multiperson_ratings_mad,multiperson_validPar_trial,multiperson_validPar_time,multiperson_included
1,0.0,One,43.45,27.15,61.0,2,0
1,0.23,day,56.6,18.7,61.0,5,0
1,0.46,day,58.2,10.633333333333333,61.0,6,0
1,0.69,at,59.44926399310667,11.050736006893333,61.0,10,0
1,0.92,work,50.1,20.6,61.0,19,0
1,1.15,work,50.1,16.5,61.0,21,0
1,1.38,Margaret,50.4,11.6,61.0,23,0
1,1.61,walked,49.95,10.8546169667665,61.0,28,0
1,1.84,up,46.88690644932672,17.728947368421053,61.0,32,1
1,2.07,up,50.3,16.059036144578315,61.0,36,1
1,2.3,to,61.97596153846154,18.14162418906395,61.0,40,1
1,2.53,her,67.6,22.60303030303031,61.0,43,1
1,2.76,her,68.74897959183674,25.148979591836746,61.0,47,1
1,2.99,partner,72.38669950738915,23.87297857715659,61.0,48,1
1,3.22,Al,77.1722891566265,22.55,61.0,48,1
1,3.45,Al,82.0,18.0,61.0,50,1
1,3.68,to,81.7,18.3,61.0,51,1
1,3.91,ask,81.6,18.40000000000001,61.0,53,1
1,4.14,ask,81.95,18.05,61.0,54,1
1,4.37,him,82.14186046511628,17.85813953488372,61.0,54,1
1,4.6,to,85.60268456375839,14.397315436241612,61.0,57,1
1,4.83,to,86.8,13.200000000000005,61.0,57,1
1,5.06,talk,88.65,11.349999999999994,61.0,58,1
1,5.29,to,86.55,13.450000000000005,61.0,60,1
1,5.52,the,85.3,14.700000000000005,61.0,60,1
1,5.75,the,85.19999999999999,14.800000000000011,61.0,60,1
1,5.98,chief,86.35749999999999,13.642500000000013,61.0,60,1
1,6.21,of,88.6108950617284,11.3891049382716,61.0,60,1
1,6.44,of,87.75535714285715,12.24464285714285,61.0,60,1
1,6.67,staff,88.4,11.599999999999994,61.0,61,1
1,6.9,at,90.37272727272726,9.62727272727274,61.0,61,1
1,7.13,at,92.7,7.299999999999997,61.0,61,1
1,7.36,the,92.7,7.299999999999997,61.0,61,1
1,7.59,local,92.7,7.299999999999997,61.0,61,1
1,7.82,local,92.7,7.299999999999997,61.0,61,1
1,8.05,hospital,93.1,6.900000000000006,61.0,61,1
1,8.28,where,92.35602409638554,7.643975903614461,61.0,60,1
1,8.51,she,92.89642857142856,7.103571428571428,61.0,60,1
1,8.74,she,93.00400000000002,6.995999999999981,61.0,60,1
1,8.97,worked,92.58066666666669,7.419333333333327,61.0,60,1
1,9.2,as,92.55,7.449999999999989,61.0,60,1
