rating,bio_motion_audio
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.5878831040193209
0.0,-0.3893922055241834
0.0,-0.1539208400193209
0.0,-0.1539208400193209
0.0,-0.1539208400193209
0.0,-0.1539208400193209
0.0,-0.1539208400193209
0.0,-0.1539208400193209
0.0,-0.625618954019321
0.0,-0.625618954019321
0.0,-0.625618954019321
0.0,-0.663354802019321
0.0,-0.663354802019321
0.0,-0.663354802019321
0.0,-0.663354802019321
0.0,-0.663354802019321
0.0,-0.663354802019321
0.0,-0.663354802019321
0.0,-0.663354802019321
0.0,-0.663354802019321
0.0,-0.663354802019321
0.0,-0.663354802019321
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-0.6445807035429367
0.0,-0.6444868780193209
0.0,-0.6444868780193209
0.0,-0.21052461401932107
0.0,-0.21052461401932107
0.0,-0.21052461401932107
0.0,-0.21052461401932107
0.0,-0.21052461401932107
0.0,-0.49354348201932097
0.0,-0.49354348201932097
0.0,-0.49354348201932097
0.0,-0.49354348201932097
0.0,-0.49354348201932097
0.0,-0.6444868780193209
0.0,-0.6444868780193209
0.0,-0.11194747479274758
0.0,0.05362632998067911
0.0,0.05362632998067911
0.0,0.05362632998067911
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
